Date,ATW,BOA,CDM,CIH,CSR,GAZ,HPS,IAM,LBV,LHF,LSE,MNG,SID,TQM,WAA
2023-01-13,,,,,,,,,,,,,,,
2023-01-20,,,,,,,,,,,,,,,
2023-01-27,,,,,,,,,,,,,,,
2023-02-03,,,,,,,,,,,,,,,
2023-02-10,,,,,,,,,,,,,,,
2023-03-17,,,,,,,,,,,,,,,
2023-03-24,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,
2023-04-07,,,,,,,,,,,,,,,
2023-04-14,,,,,,,,,,,,,,,
2023-04-21,,,,,,,,,,,,,,,
2023-04-28,,,,,,,,,,,,,,,
2023-05-05,,,,,,,,,,,,,,,
2023-05-12,,,,,,,,,,,,,,,
2023-05-19,,,,,,,,,,,,,,,
2023-05-26,,,,,,,,,,,,,,,
2023-06-02,,,,,,,,,,,,,,,
2023-06-09,,,,,,,,,,,,,,,
2023-06-16,,,,,,,,,,,,,,,
2023-06-23,,,,,,,,,,,,,,,
2023-07-03,,,,,,,,,,,,,,,
2023-07-07,,,,,,,,,,,,,,,
2023-07-14,,,,,,,,,,,,,,,
2023-07-21,,,,,,,,,,,,,,,
2023-07-28,,,,,,,,,,,,,,,
2023-08-04,,,,,,,,,,,,,,,
2023-08-11,,,,,,,,,,,,,,,
2023-08-18,,,,,,,,,,,,,,,
2023-08-25,,,,,,,,,,,,,,,
2023-09-01,,,,,,,,,,,,,,,
2023-09-08,,,,,,,,,,,,,,,
2023-09-15,,,,,,,,,,,,,,,
2023-09-22,,,,,,,,,,,,,,,
2023-10-02,,,,,,,,,,,,,,,
2023-10-06,,,,,,,,,,,,,,,
2023-10-13,,,,,,,,,,,,,,,
2023-10-20,,,,,,,,,,,,,,,
2023-10-27,,,,,,,,,,,,,,,
2023-11-03,,,,,,,,,,,,,,,
2023-11-10,,,,,,,,,,,,,,,
2023-11-17,,,,,,,,,,,,,,,
2023-11-24,,,,,,,,,,,,,,,
2023-12-01,,,,,,,,,,,,,,,
2023-12-08,,,,,,,,,,,,,,,
2023-12-15,,,,,,,,,,,,,,,
2023-12-22,,,,,,,,,,,,,,,
2023-12-29,,,,,,,,,,,,,,,
2024-01-05,,,,,,,,,,,,,,,
2024-01-12,,,,,,,,,,,,,,,
2024-01-19,,,,,,,,,,,,,,,
2024-01-26,,,,,,,,,,,,,,,
2024-02-02,,,,,,,,,,,,,,,
2024-02-09,,,,,,,,,,,,,,,
2024-02-16,,,,,,,,,,,,,,,
2024-02-23,,,,,,,,,,,,,,,
2024-03-01,,,,,,,,,,,,,,,
2024-03-08,,,,,,,,,,,,,,,
2024-03-15,,,,,,,,,,,,,,,
2024-03-22,,,,,,,,,,,,,,,
2024-03-29,,,,,,,,,,,,,,,
2024-04-05,,,,,,,,,,,,,,,
2024-04-15,,,,,,,,1.0,,,,,,,
2024-04-19,,,,,,,,1.0,,,,,,,
2024-04-26,,,,,,,,1.0,,,,,,,
2024-05-03,,,,,,,,1.0,,,,,,,
2024-05-10,,,,,,,,1.0,,,,,,,
2024-05-17,,,,,,,,,,,,,,,
2024-05-24,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,
2024-06-07,,,,,,,,,,,,,,,
2024-06-14,,,,,,,,,,,,,,,
2024-06-21,,,,,,,,,,,,,,,
2024-06-28,,,,,,,,,,,,,,,
2024-07-05,,,,,,,,,,,,,,,
2024-07-12,,,,,,,,,,,,,,,
2024-07-19,,,,,,,,,,,,,,,
2024-07-26,,,,,,,,,,,,,,,
2024-08-02,,,,,,,,,,,,,1.0,,
2024-08-09,,,,,,,,,,,,,1.0,,
2024-08-16,,,,,,,,,,,,,1.0,,
2024-08-23,,,,,,,,,,,,,1.0,,
2024-08-30,,,,,,,,,,,,,1.0,,
2024-09-06,,,,,,,,,,,,,1.0,,
2024-09-13,,,,,,,,,,,,,1.0,,
2024-09-20,,,,,,,,,,,,,1.0,,
2024-09-27,,,,,,,,,,,,,1.0,,
2024-10-04,,,,,,,,,,,,,1.0,,
2024-10-11,,,,,,,,,,,,,1.0,,
2024-10-18,,,,,,,,,,,,,1.0,,
2024-10-25,,,,,,,,,,,,,1.0,,
2024-11-01,,,,,,,,,,,,,1.0,,
2024-11-08,,,,,,,,,,,,,1.0,,
2024-11-15,,,,,,,,,,,,,1.0,,
2024-11-22,,,,,,,,,,,,,1.0,,
2024-11-29,,,,,,,,,,,,,1.0,,
2024-12-06,,,,,,,,,,,,,1.0,,
2024-12-13,,,,,,,,,,,,,1.0,,
2024-12-20,,,,,,,,,,,,,1.0,,
2024-12-27,,,,,,,,,,,,,1.0,,
2025-01-03,,,,,,,,,,,,,1.0,,
2025-01-10,,,,,,,,,,,,,1.0,,
2025-01-17,,,,,,,,,,,,,1.0,,
2025-01-24,,,,,,,,,,,,,1.0,,
2025-01-31,,,,,,,,,,,,,1.0,,
2025-02-07,,,,,,,,,,,,,1.0,,
2025-02-14,,,,,,,,,,,,,1.0,,
2025-02-21,,,,,,,,,,,,,1.0,,
2025-02-28,,,,,,,,,,,,,1.0,,
2025-03-07,,,,,,,,,,,,,1.0,,
2025-03-14,,,,,,,,,,,,,1.0,,
2025-03-21,,,,,,,,,,,,,1.0,,
2025-03-28,,,,,,,,,,,,,1.0,,
2025-04-04,,,,,,,,,,,,,1.0,,
2025-04-11,,,,,,,,,,,,,1.0,,
2025-04-18,,,,,,,,,,,,,1.0,,
2025-04-25,,,,,,,,,,,,,1.0,,
2025-05-02,,,,,,,,,,,,,1.0,,
2025-05-09,,,,,,,,,,,,,1.0,,
2025-05-16,,,,,,,,,,,,,1.0,,
2025-05-23,,,,,,,,,,,,,1.0,,
2025-05-30,,,,,,,,,,,,,1.0,,
2025-06-06,,,,,,,,,,,,,1.0,,
2025-06-13,,,,,,,,,,,,,1.0,,
2025-06-20,,,,,,,,,,,,,1.0,,
2025-06-30,,,,,,,,,,,,,1.0,,
2025-07-04,,,,,,,,,,,,,1.0,,
2025-07-11,,,,,,,,,,,,,1.0,,
2025-07-18,,,,,,,,,,,,,1.0,,
2025-07-25,,,,,,,,,,,,,1.0,,
2025-08-01,,,,,,,,,,,,,1.0,,
2025-08-08,,,,,,,,,,,,,1.0,,
2025-08-15,,,,,,,,,,,,,1.0,,
2025-08-22,,,,,,,,,,,,,1.0,,
2025-08-29,,,,,,,,,,,,,1.0,,
2025-09-08,,,,,,,,,,,,,1.0,,
2025-09-12,,,,,,,,,,,,,1.0,,
2025-09-19,,,,,,,,,,,,,1.0,,
2025-09-26,,,,,,,,,,,,,1.0,,
2025-10-03,,,,,,,,,,,,,1.0,,
2025-10-10,,,,,,,,,,,,,1.0,,
2025-10-17,,,,,,,,,,,,,1.0,,
2025-10-24,,,,,,,,,,,,,1.0,,
2025-10-31,,,,,,,,,,,,,1.0,,
2025-11-07,,,,,,,,,,,,,1.0,,
2025-11-14,,,,,,,,,,,,,1.0,,
2025-11-21,,,,,,,,,,,,,1.0,,
2025-11-28,,,,,,,,,,,,,1.0,,
2025-12-05,,,,,,,,,,,,,1.0,,
