Date,ATW,BOA,CDM,CIH,CSR,GAZ,HPS,IAM,LBV,LHF,LSE,MNG,SID,TQM,WAA
2023-01-13,,,,,,,,,,,,,,,
2023-01-20,,,,,,,,,,,,,,,
2023-01-27,,,,,,,,,,,,,,,
2023-02-03,,,,,,,,,,,,,,,
2023-02-10,,,,,,,,,,,,,,,
2023-03-17,,,,,,,,,,,,,,,
2023-03-24,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,
2023-04-07,,,,,,,,,,,,,,,
2023-04-14,,,,,,,,,,,,,,,
2023-04-21,,,,,,,,,,,,,,,
2023-04-28,,,,,,,,,,,,,,,
2023-05-05,,,,,,,,,,,,,,,
2023-05-12,,,,,,,,,,,,,,,
2023-05-19,,,,,,,,,,,,,,,
2023-05-26,,,,,,,,,,,,,,,
2023-06-02,,,,,,,,,,,,,,,
2023-06-09,,,,,,,,,,,,,,,
2023-06-16,,,,,,,,,,,,,,,
2023-06-23,,,,,,,,,,,,,,,
2023-07-03,,,,,,,,,,,,,,,
2023-07-07,,,,,,,,,,,,,,,
2023-07-14,,,,,,,,,,,,,,,
2023-07-21,,,,,,,,,,,,,,,
2023-07-28,,,,,,,,,,,,,,,
2023-08-04,,,,,,,,,,,,,,,
2023-08-11,,,,,,,,,,,,,,,
2023-08-18,,,,,,,,,,,,,,,
2023-08-25,,,,,,,,,,,,,,,
2023-09-01,,,,,,,,,,,,,,,
2023-09-08,,,,,,,,,,,,,,,
2023-09-15,,,,,,,,,,,,,,,
2023-09-22,,,,,,,,,,,,,,,
2023-10-02,,,,,,,,,,,,,,,
2023-10-06,,,,,,,,,,,,,,,
2023-10-13,,,,,,,,,,,,,,,
2023-10-20,,,,,,,,,,,,,,,
2023-10-27,,,,,,,,,,,,,,,
2023-11-03,,,,,,,,,,,,,,,
2023-11-10,,,,,,,,,,,,,,,
2023-11-17,,,,,,,,,,,,,,,
2023-11-24,,,,,,,,,,,,,,,
2023-12-01,,,,,,,,,,,,,,,
2023-12-08,,,,,,,,,,,,,,,
2023-12-15,,,,,,,,,,,,,,,
2023-12-22,,,,,,,,,,,,,,,
2023-12-29,,,,,,,,,,,,,,,
2024-01-05,,,,,,,,,,,,,,,
2024-01-12,,,,,,,,,,,,,,,
2024-01-19,,,,,,,,,,,,,,,
2024-01-26,,,,,,,,,,,,,,,
2024-02-02,,,,,,,,,,,,,,,
2024-02-09,,,,,,,,,,,,,,,
2024-02-16,,,,,,,,,,,,,,,
2024-02-23,,,,,,,,,,,,,,,
2024-03-01,,,,,,,,,,,,,,,
2024-03-08,,,,,,,,,,,,,,,
2024-03-15,,,,,,,,,,,,,,,
2024-03-22,,,,,,,,,,,,,,,
2024-03-29,,,,,,,,,,,,,,,
2024-04-05,,,,,,,,,,,,,,,
2024-04-15,,,,,,,,0.5928571428571429,,,,,,,
2024-04-19,,,,,,,,0.55,,,,,,,
2024-04-26,,,,,,,,0.5428571428571428,,,,,,,
2024-05-03,,,,,,,,0.6,,,,,,,
2024-05-10,,,,,,,,0.6,,,,,,,
2024-05-17,,,,,,,,,,,,,,,
2024-05-24,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,
2024-06-07,,,,,,,,,,,,,,,
2024-06-14,,,,,,,,,,,,,,,
2024-06-21,,,,,,,,,,,,,,,
2024-06-28,,,,,,,,,,,,,,,
2024-07-05,,,,,,,,,,,,,,,
2024-07-12,,,,,,,,,,,,,,,
2024-07-19,,,,,,,,,,,,,,,
2024-07-26,,,,,,,,,,,,,,,
2024-08-02,,,,,,,,,,,,,0.75,,
2024-08-09,,,,,,,,,,,,,0.75,,
2024-08-16,,,,,,,,,,,,,0.7642857142857142,,
2024-08-23,,,,,,,,,,,,,0.9,,
2024-08-30,,,,,,,,,,,,,0.75,,
2024-09-06,,,,,,,,,,,,,0.85,,
2024-09-13,,,,,,,,,,,,,0.8714285714285714,,
2024-09-20,,,,,,,,,,,,,0.625,,
2024-09-27,,,,,,,,,,,,,0.6357142857142857,,
2024-10-04,,,,,,,,,,,,,0.6357142857142857,,
2024-10-11,,,,,,,,,,,,,0.6357142857142857,,
2024-10-18,,,,,,,,,,,,,0.65,,
2024-10-25,,,,,,,,,,,,,0.65,,
2024-11-01,,,,,,,,,,,,,0.65,,
2024-11-08,,,,,,,,,,,,,0.7,,
2024-11-15,,,,,,,,,,,,,0.7,,
2024-11-22,,,,,,,,,,,,,0.7214285714285714,,
2024-11-29,,,,,,,,,,,,,0.8285714285714285,,
2024-12-06,,,,,,,,,,,,,0.8285714285714285,,
2024-12-13,,,,,,,,,,,,,0.7,,
2024-12-20,,,,,,,,,,,,,0.73,,
2024-12-27,,,,,,,,,,,,,0.67,,
2025-01-03,,,,,,,,,,,,,0.73,,
2025-01-10,,,,,,,,,,,,,0.73,,
2025-01-17,,,,,,,,,,,,,0.7514285714285714,,
2025-01-24,,,,,,,,,,,,,0.7133333333333334,,
2025-01-31,,,,,,,,,,,,,0.9025,,
2025-02-07,,,,,,,,,,,,,0.8733333333333333,,
2025-02-14,,,,,,,,,,,,,0.9066666666666666,,
2025-02-21,,,,,,,,,,,,,0.8066666666666666,,
2025-02-28,,,,,,,,,,,,,0.775,,
2025-03-07,,,,,,,,,,,,,0.85,,
2025-03-14,,,,,,,,,,,,,0.895,,
2025-03-21,,,,,,,,,,,,,0.8133333333333334,,
2025-03-28,,,,,,,,,,,,,0.8133333333333334,,
2025-04-04,,,,,,,,,,,,,0.7133333333333334,,
2025-04-11,,,,,,,,,,,,,0.6799999999999999,,
2025-04-18,,,,,,,,,,,,,0.67,,
2025-04-25,,,,,,,,,,,,,0.7,,
2025-05-02,,,,,,,,,,,,,0.74,,
2025-05-09,,,,,,,,,,,,,0.55,,
2025-05-16,,,,,,,,,,,,,0.55,,
2025-05-23,,,,,,,,,,,,,0.625,,
2025-05-30,,,,,,,,,,,,,0.775,,
2025-06-06,,,,,,,,,,,,,0.8,,
2025-06-13,,,,,,,,,,,,,0.65,,
2025-06-20,,,,,,,,,,,,,0.65,,
2025-06-30,,,,,,,,,,,,,0.65,,
2025-07-04,,,,,,,,,,,,,0.65,,
2025-07-11,,,,,,,,,,,,,0.65,,
2025-07-18,,,,,,,,,,,,,0.65,,
2025-07-25,,,,,,,,,,,,,0.65,,
2025-08-01,,,,,,,,,,,,,0.65,,
2025-08-08,,,,,,,,,,,,,0.65,,
2025-08-15,,,,,,,,,,,,,0.65,,
2025-08-22,,,,,,,,,,,,,0.85,,
2025-08-29,,,,,,,,,,,,,0.74,,
2025-09-08,,,,,,,,,,,,,0.8,,
2025-09-12,,,,,,,,,,,,,0.75,,
2025-09-19,,,,,,,,,,,,,0.7142857142857143,,
2025-09-26,,,,,,,,,,,,,0.7142857142857143,,
2025-10-03,,,,,,,,,,,,,0.7642857142857142,,
2025-10-10,,,,,,,,,,,,,0.7375,,
2025-10-17,,,,,,,,,,,,,0.7,,
2025-10-24,,,,,,,,,,,,,0.6785714285714286,,
2025-10-31,,,,,,,,,,,,,0.7,,
2025-11-07,,,,,,,,,,,,,0.7,,
2025-11-14,,,,,,,,,,,,,0.7,,
2025-11-21,,,,,,,,,,,,,0.5875,,
2025-11-28,,,,,,,,,,,,,0.6333333333333333,,
2025-12-05,,,,,,,,,,,,,0.6333333333333333,,
