Date,ATW,BOA,CDM,CIH,CSR,GAZ,HPS,IAM,LBV,LHF,LSE,MNG,SID,TQM,WAA
2023-01-13,,,,,,,,,,,,,,,
2023-01-20,,,,,,,,,,,,,,,
2023-01-27,,,,,,,,,,,,,,,
2023-02-03,,,,,,,,,,,,,,,
2023-02-10,,,,,,,,,,,,,,,
2023-03-17,,,,,,,,,,,,,,,
2023-03-24,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,
2023-04-07,,,,,,,,,,,,,,,
2023-04-14,,,,,,,,,,,,,,,
2023-04-21,,,,,,,,,,,,,,,
2023-04-28,,,,,,,,,,,,,,,
2023-05-05,,,,,,,,,,,,,,,
2023-05-12,,,,,,,,,,,,,,,
2023-05-19,,,,,,,,,,,,,,,
2023-05-26,,,,,,,,,,,,,,,
2023-06-02,,,,,,,,,,,,,,,
2023-06-09,,,,,,,,,,,,,,,
2023-06-16,,,,,,,,,,,,,,,
2023-06-23,,,,,,,,,,,,,,,
2023-07-03,,,,,,,,,,,,,,,
2023-07-07,,,,,,,,,,,,,,,
2023-07-14,,,,,,,,,,,,,,,
2023-07-21,,,,,,,,,,,,,,,
2023-07-28,,,,,,,,,,,,,,,
2023-08-04,,,,,,,,,,,,,,,
2023-08-11,,,,,,,,,,,,,,,
2023-08-18,,,,,,,,,,,,,,,
2023-08-25,,,,,,,,,,,,,,,
2023-09-01,,,,,,,,,,,,,,,
2023-09-08,,,,,,,,,,,,,,,
2023-09-15,,,,,,,,,,,,,,,
2023-09-22,,,,,,,,,,,,,,,
2023-10-02,,,,,,,,,,,,,,,
2023-10-06,,,,,,,,,,,,,,,
2023-10-13,,,,,,,,,,,,,,,
2023-10-20,,,,,,,,,,,,,,,
2023-10-27,,,,,,,,,,,,,,,
2023-11-03,,,,,,,,,,,,,,,
2023-11-10,,,,,,,,,,,,,,,
2023-11-17,,,,,,,,,,,,,,,
2023-11-24,,,,,,,,,,,,,,,
2023-12-01,,,,,,,,,,,,,,,
2023-12-08,,,,,,,,,,,,,,,
2023-12-15,,,,,,,,,,,,,,,
2023-12-22,,,,,,,,,,,,,,,
2023-12-29,,,,,,,,,,,,,,,
2024-01-05,,,,,,,,,,,,,,,
2024-01-12,,,,,,,,,,,,,,,
2024-01-19,,,,,,,,,,,,,,,
2024-01-26,,,,,,,,,,,,,,,
2024-02-02,0.06666666666666667,0.2,0.6666666666666666,0.3333333333333333,0.4666666666666667,0.5333333333333333,1.0,0.8666666666666667,0.26666666666666666,0.6,0.13333333333333333,0.8,0.9333333333333333,0.7333333333333333,0.4
2024-02-09,0.06666666666666667,0.13333333333333333,0.8,0.4666666666666667,0.4,0.6,1.0,0.8666666666666667,0.3333333333333333,0.5333333333333333,0.2,0.7333333333333333,0.9333333333333333,0.6666666666666666,0.26666666666666666
2024-02-16,0.2,0.13333333333333333,0.6666666666666666,0.4666666666666667,0.3333333333333333,0.6,1.0,0.8666666666666667,0.4,0.5333333333333333,0.06666666666666667,0.8,0.9333333333333333,0.7333333333333333,0.26666666666666666
2024-02-23,0.2,0.13333333333333333,0.6,0.4666666666666667,0.3333333333333333,0.6666666666666666,1.0,0.8666666666666667,0.4,0.5333333333333333,0.06666666666666667,0.8,0.9333333333333333,0.7333333333333333,0.26666666666666666
2024-03-01,0.13333333333333333,0.2,0.6,0.4666666666666667,0.3333333333333333,0.6666666666666666,1.0,0.8666666666666667,0.4,0.5333333333333333,0.06666666666666667,0.8,0.9333333333333333,0.7333333333333333,0.26666666666666666
2024-03-08,0.06666666666666667,0.2,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.6666666666666666,1.0,0.8666666666666667,0.4,0.6,0.13333333333333333,0.8,0.9333333333333333,0.7333333333333333,0.26666666666666666
2024-03-15,0.06666666666666667,0.2,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.6666666666666666,1.0,0.8666666666666667,0.4,0.6,0.13333333333333333,0.8,0.9333333333333333,0.7333333333333333,0.26666666666666666
2024-03-22,0.06666666666666667,0.2,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.6666666666666666,1.0,0.9333333333333333,0.4,0.6,0.13333333333333333,0.8,0.8666666666666667,0.7333333333333333,0.26666666666666666
2024-03-29,0.06666666666666667,0.2,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.6,1.0,0.9333333333333333,0.4,0.6666666666666666,0.13333333333333333,0.8,0.8666666666666667,0.7333333333333333,0.26666666666666666
2024-04-05,0.06666666666666667,0.2,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.6,1.0,0.8666666666666667,0.4,0.6666666666666666,0.13333333333333333,0.8,0.9333333333333333,0.7333333333333333,0.26666666666666666
2024-04-15,0.06666666666666667,0.2,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.6,1.0,0.8666666666666667,0.4,0.6666666666666666,0.13333333333333333,0.8,0.9333333333333333,0.7333333333333333,0.26666666666666666
2024-04-19,0.06666666666666667,0.2,0.4666666666666667,0.5333333333333333,0.3333333333333333,0.6,1.0,0.8,0.4,0.6666666666666666,0.13333333333333333,0.9333333333333333,0.8666666666666667,0.7333333333333333,0.26666666666666666
2024-04-26,0.06666666666666667,0.2,0.4666666666666667,0.5333333333333333,0.3333333333333333,0.6,1.0,0.8,0.4,0.6666666666666666,0.13333333333333333,0.9333333333333333,0.8666666666666667,0.7333333333333333,0.26666666666666666
2024-05-03,0.06666666666666667,0.2,0.5333333333333333,0.4666666666666667,0.26666666666666666,0.6,1.0,0.8,0.4,0.6666666666666666,0.13333333333333333,0.9333333333333333,0.8666666666666667,0.7333333333333333,0.3333333333333333
2024-05-10,0.06666666666666667,0.2,0.6,0.5333333333333333,0.26666666666666666,0.6666666666666666,1.0,0.8,0.4,0.4666666666666667,0.13333333333333333,0.9333333333333333,0.8666666666666667,0.7333333333333333,0.3333333333333333
2024-05-17,0.06666666666666667,0.26666666666666666,0.4666666666666667,0.6,0.13333333333333333,0.6666666666666666,1.0,0.8,0.4,0.5333333333333333,0.2,0.9333333333333333,0.8666666666666667,0.7333333333333333,0.3333333333333333
2024-05-24,0.06666666666666667,0.26666666666666666,0.5333333333333333,0.4,0.13333333333333333,0.6666666666666666,1.0,0.8,0.4666666666666667,0.6,0.2,0.9333333333333333,0.8666666666666667,0.7333333333333333,0.3333333333333333
2024-05-31,0.06666666666666667,0.26666666666666666,0.6,0.4666666666666667,0.13333333333333333,0.6666666666666666,1.0,0.8,0.5333333333333333,0.4,0.2,0.9333333333333333,0.8666666666666667,0.7333333333333333,0.3333333333333333
2024-06-07,0.06666666666666667,0.26666666666666666,0.6,0.4666666666666667,0.13333333333333333,0.6666666666666666,1.0,0.8,0.5333333333333333,0.4,0.2,0.9333333333333333,0.8666666666666667,0.7333333333333333,0.3333333333333333
2024-06-14,0.06666666666666667,0.26666666666666666,0.6,0.4666666666666667,0.13333333333333333,0.6666666666666666,1.0,0.7333333333333333,0.5333333333333333,0.4,0.2,0.9333333333333333,0.8666666666666667,0.8,0.3333333333333333
2024-06-21,0.06666666666666667,0.2,0.6,0.5333333333333333,0.13333333333333333,0.6666666666666666,1.0,0.7333333333333333,0.4666666666666667,0.4,0.26666666666666666,0.9333333333333333,0.8666666666666667,0.8,0.3333333333333333
2024-06-28,0.06666666666666667,0.2,0.6666666666666666,0.4666666666666667,0.13333333333333333,0.6,1.0,0.8,0.5333333333333333,0.4,0.3333333333333333,0.9333333333333333,0.8666666666666667,0.7333333333333333,0.26666666666666666
2024-07-05,0.06666666666666667,0.13333333333333333,0.6666666666666666,0.4666666666666667,0.2,0.6,1.0,0.8,0.5333333333333333,0.4,0.3333333333333333,0.9333333333333333,0.8666666666666667,0.7333333333333333,0.26666666666666666
2024-07-12,0.06666666666666667,0.13333333333333333,0.6666666666666666,0.4666666666666667,0.2,0.6,1.0,0.8,0.5333333333333333,0.4,0.3333333333333333,0.9333333333333333,0.8666666666666667,0.7333333333333333,0.26666666666666666
2024-07-19,0.06666666666666667,0.2,0.6666666666666666,0.4666666666666667,0.13333333333333333,0.6,1.0,0.8,0.5333333333333333,0.4,0.3333333333333333,0.9333333333333333,0.8666666666666667,0.7333333333333333,0.26666666666666666
2024-07-26,0.13333333333333333,0.2,0.6666666666666666,0.4666666666666667,0.06666666666666667,0.6,1.0,0.7333333333333333,0.5333333333333333,0.4,0.3333333333333333,0.9333333333333333,0.8666666666666667,0.8,0.26666666666666666
2024-08-02,0.13333333333333333,0.2,0.6666666666666666,0.5333333333333333,0.06666666666666667,0.4666666666666667,1.0,0.7333333333333333,0.6,0.4,0.3333333333333333,0.8666666666666667,0.9333333333333333,0.8,0.26666666666666666
2024-08-09,0.13333333333333333,0.2,0.6666666666666666,0.5333333333333333,0.06666666666666667,0.4666666666666667,1.0,0.7333333333333333,0.6,0.4,0.3333333333333333,0.8666666666666667,0.9333333333333333,0.8,0.26666666666666666
2024-08-16,0.13333333333333333,0.2,0.6666666666666666,0.5333333333333333,0.06666666666666667,0.4666666666666667,1.0,0.7333333333333333,0.6,0.4,0.3333333333333333,0.8666666666666667,0.9333333333333333,0.8,0.26666666666666666
2024-08-23,0.13333333333333333,0.2,0.6666666666666666,0.5333333333333333,0.06666666666666667,0.4666666666666667,1.0,0.7333333333333333,0.6,0.4,0.3333333333333333,0.8666666666666667,0.9333333333333333,0.8,0.26666666666666666
2024-08-30,0.13333333333333333,0.2,0.6666666666666666,0.4666666666666667,0.06666666666666667,0.5333333333333333,1.0,0.7333333333333333,0.6,0.3333333333333333,0.4,0.8666666666666667,0.9333333333333333,0.8,0.26666666666666666
2024-09-06,0.13333333333333333,0.2,0.7333333333333333,0.4666666666666667,0.06666666666666667,0.5333333333333333,1.0,0.8,0.6,0.4,0.3333333333333333,0.8666666666666667,0.9333333333333333,0.6666666666666666,0.26666666666666666
2024-09-13,0.13333333333333333,0.2,0.8,0.4666666666666667,0.06666666666666667,0.5333333333333333,1.0,0.7333333333333333,0.6,0.4,0.3333333333333333,0.9333333333333333,0.8666666666666667,0.6666666666666666,0.26666666666666666
2024-09-20,0.06666666666666667,0.2,0.8,0.5333333333333333,0.13333333333333333,0.4666666666666667,1.0,0.7333333333333333,0.6,0.4,0.3333333333333333,0.9333333333333333,0.8666666666666667,0.6666666666666666,0.26666666666666666
2024-09-27,0.06666666666666667,0.2,0.6666666666666666,0.5333333333333333,0.13333333333333333,0.4666666666666667,1.0,0.7333333333333333,0.6,0.4,0.3333333333333333,0.9333333333333333,0.8666666666666667,0.8,0.26666666666666666
2024-10-04,0.06666666666666667,0.2,0.6666666666666666,0.4666666666666667,0.13333333333333333,0.5333333333333333,1.0,0.7333333333333333,0.6,0.26666666666666666,0.4,0.9333333333333333,0.8666666666666667,0.8,0.3333333333333333
2024-10-11,0.06666666666666667,0.2,0.7333333333333333,0.6,0.13333333333333333,0.5333333333333333,0.3333333333333333,0.8,0.6666666666666666,0.26666666666666666,0.4666666666666667,1.0,0.9333333333333333,0.8666666666666667,0.4
2024-10-18,0.06666666666666667,0.26666666666666666,0.8666666666666667,0.6,0.13333333333333333,0.5333333333333333,0.3333333333333333,0.7333333333333333,0.6666666666666666,0.2,0.4666666666666667,1.0,0.9333333333333333,0.8,0.4
2024-10-25,0.06666666666666667,0.26666666666666666,0.9333333333333333,0.6,0.2,0.5333333333333333,0.3333333333333333,0.7333333333333333,0.6666666666666666,0.13333333333333333,0.4666666666666667,1.0,0.8666666666666667,0.8,0.4
2024-11-01,0.06666666666666667,0.26666666666666666,0.8666666666666667,0.6,0.2,0.5333333333333333,0.3333333333333333,0.7333333333333333,0.6666666666666666,0.13333333333333333,0.4,1.0,0.9333333333333333,0.8,0.4666666666666667
2024-11-08,0.06666666666666667,0.26666666666666666,0.8666666666666667,0.6,0.2,0.5333333333333333,0.3333333333333333,0.7333333333333333,0.6666666666666666,0.13333333333333333,0.4,1.0,0.9333333333333333,0.8,0.4666666666666667
2024-11-15,0.06666666666666667,0.2,0.8666666666666667,0.6,0.13333333333333333,0.5333333333333333,0.4,0.7333333333333333,0.6666666666666666,0.26666666666666666,0.3333333333333333,1.0,0.9333333333333333,0.8,0.4666666666666667
2024-11-22,0.06666666666666667,0.26666666666666666,0.8666666666666667,0.6,0.13333333333333333,0.5333333333333333,0.4,0.7333333333333333,0.6666666666666666,0.2,0.3333333333333333,1.0,0.9333333333333333,0.8,0.4666666666666667
2024-11-29,0.06666666666666667,0.2,0.9333333333333333,0.6,0.13333333333333333,0.4666666666666667,0.4,0.7333333333333333,0.6666666666666666,0.26666666666666666,0.3333333333333333,1.0,0.8666666666666667,0.8,0.5333333333333333
2024-12-06,0.06666666666666667,0.2,0.9333333333333333,0.5333333333333333,0.13333333333333333,0.4666666666666667,0.4,0.7333333333333333,0.6666666666666666,0.26666666666666666,0.3333333333333333,1.0,0.8666666666666667,0.8,0.6
2024-12-13,0.06666666666666667,0.13333333333333333,0.9333333333333333,0.5333333333333333,0.2,0.4666666666666667,0.4,0.7333333333333333,0.6666666666666666,0.26666666666666666,0.3333333333333333,1.0,0.8666666666666667,0.8,0.6
2024-12-20,0.06666666666666667,0.13333333333333333,0.9333333333333333,0.5333333333333333,0.2,0.4,0.4666666666666667,0.7333333333333333,0.6666666666666666,0.26666666666666666,0.3333333333333333,1.0,0.8666666666666667,0.8,0.6
2024-12-27,0.06666666666666667,0.13333333333333333,0.9333333333333333,0.5333333333333333,0.2,0.4,0.4666666666666667,0.7333333333333333,0.6666666666666666,0.26666666666666666,0.3333333333333333,1.0,0.8666666666666667,0.8,0.6
2025-01-03,0.26666666666666666,0.06666666666666667,0.8666666666666667,0.4666666666666667,0.13333333333333333,0.4,0.6,0.7333333333333333,0.6666666666666666,0.2,0.3333333333333333,0.9333333333333333,1.0,0.8,0.5333333333333333
2025-01-10,0.2,0.06666666666666667,0.8666666666666667,0.4666666666666667,0.26666666666666666,0.3333333333333333,0.6666666666666666,0.7333333333333333,0.6,0.13333333333333333,0.4,1.0,0.9333333333333333,0.8,0.5333333333333333
2025-01-17,0.2,0.06666666666666667,0.8666666666666667,0.4666666666666667,0.4,0.26666666666666666,0.6666666666666666,0.7333333333333333,0.6,0.13333333333333333,0.3333333333333333,1.0,0.9333333333333333,0.8,0.5333333333333333
2025-01-24,0.2,0.06666666666666667,0.8666666666666667,0.4666666666666667,0.3333333333333333,0.26666666666666666,0.6666666666666666,0.7333333333333333,0.6,0.13333333333333333,0.4,1.0,0.9333333333333333,0.8,0.5333333333333333
2025-01-31,0.2,0.06666666666666667,0.8666666666666667,0.4666666666666667,0.3333333333333333,0.26666666666666666,0.6666666666666666,0.8,0.6,0.13333333333333333,0.4,1.0,0.9333333333333333,0.7333333333333333,0.5333333333333333
2025-02-07,0.13333333333333333,0.06666666666666667,0.8666666666666667,0.4,0.26666666666666666,0.4666666666666667,0.6666666666666666,0.8,0.6,0.2,0.3333333333333333,1.0,0.9333333333333333,0.7333333333333333,0.5333333333333333
2025-02-14,0.2,0.06666666666666667,0.8666666666666667,0.4,0.3333333333333333,0.6,0.6666666666666666,0.7333333333333333,0.5333333333333333,0.13333333333333333,0.26666666666666666,1.0,0.9333333333333333,0.8,0.4666666666666667
2025-02-21,0.2,0.06666666666666667,0.8666666666666667,0.4,0.3333333333333333,0.5333333333333333,0.6666666666666666,0.7333333333333333,0.6,0.13333333333333333,0.26666666666666666,1.0,0.9333333333333333,0.8,0.4666666666666667
2025-02-28,0.26666666666666666,0.06666666666666667,0.8666666666666667,0.4,0.3333333333333333,0.6,0.6666666666666666,0.8,0.5333333333333333,0.13333333333333333,0.2,1.0,0.9333333333333333,0.7333333333333333,0.4666666666666667
2025-03-07,0.26666666666666666,0.06666666666666667,0.8666666666666667,0.4,0.3333333333333333,0.6,0.6666666666666666,0.8,0.5333333333333333,0.13333333333333333,0.2,0.9333333333333333,1.0,0.7333333333333333,0.4666666666666667
2025-03-14,0.26666666666666666,0.06666666666666667,0.8666666666666667,0.4,0.3333333333333333,0.6,0.6666666666666666,0.7333333333333333,0.5333333333333333,0.13333333333333333,0.2,0.9333333333333333,1.0,0.8,0.4666666666666667
2025-03-21,0.2,0.13333333333333333,0.8,0.3333333333333333,0.26666666666666666,0.5333333333333333,0.6,0.7333333333333333,0.6666666666666666,0.06666666666666667,0.4,0.9333333333333333,1.0,0.8666666666666667,0.4666666666666667
2025-03-28,0.2,0.06666666666666667,0.8,0.4,0.26666666666666666,0.6,0.5333333333333333,0.7333333333333333,0.6666666666666666,0.13333333333333333,0.3333333333333333,0.9333333333333333,1.0,0.8666666666666667,0.4666666666666667
2025-04-04,0.2,0.06666666666666667,0.8,0.4,0.26666666666666666,0.5333333333333333,0.6,0.7333333333333333,0.6666666666666666,0.13333333333333333,0.3333333333333333,0.9333333333333333,1.0,0.8666666666666667,0.4666666666666667
2025-04-11,0.13333333333333333,0.3333333333333333,0.7333333333333333,0.4,0.06666666666666667,0.5333333333333333,0.4666666666666667,0.8,0.6,0.2,0.26666666666666666,0.9333333333333333,1.0,0.8666666666666667,0.6666666666666666
