Date,ATW,BOA,CDM,CIH,CSR,GAZ,HPS,IAM,LBV,LHF,LSE,MNG,SID,TQM,WAA
2023-01-13,,,,,,,,,,,,,,,
2023-01-20,,,,,,,,,,,,,,,
2023-01-27,,,,,,,,,,,,,,,
2023-02-03,,,,,,,,,,,,,,,
2023-02-10,,,,,,,,,,,,,,,
2023-03-17,,,,,,,,,,,,,,,
2023-03-24,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,
2023-04-07,,,,,,,,,,,,,,,
2023-04-14,,,,,,,,,,,,,,,
2023-04-21,,,,,,,,,,,,,,,
2023-04-28,,,,,,,,,,,,,,,
2023-05-05,0.18352310799672092,0.14585440732271393,0.3974107746503578,0.1549608204709624,0.3099960003597825,0.23480509756912296,0.18230630304164078,0.31908492174213304,0.22266753887289253,0.3030351080445162,0.18522136085678526,0.2506702279379004,0.32882301692349286,0.28605424193743323,0.24804317165476578
2023-05-12,0.1705894220084289,0.12123966737363154,0.40176214561541645,0.159351236475698,0.25852977929665927,0.24909601092779773,0.125038670742953,0.33792829917485356,0.22272173051227506,0.2431232054997231,0.18609152111215915,0.17962884501776266,0.30848239583005255,0.2071204440210248,0.20986534831251683
2023-05-19,0.16391409867147927,0.08504325199516498,0.3144260505555439,0.15760665735838675,0.22958884656704823,0.24843240824396862,0.12540238052036587,0.3380733012109807,0.22148487587502258,0.24864818721034065,0.0975097489499908,0.19369394340120372,0.30832018741878475,0.1935139162468413,0.18463597928715236
2023-05-26,0.15945446041765607,0.07308813513587739,0.2932061156231501,0.16945203256943003,0.22999433537022124,0.24904660988690297,0.17831760981213257,0.33484204490836517,0.2245018272452976,0.22720313761173916,0.08822987873364238,0.23538891935852452,0.3056257832943857,0.19693553178921275,0.16978643408370378
2023-06-02,0.14809252776282758,0.07832728768665818,0.27333405075091494,0.16779607593011195,0.22057954417530898,0.2511601427469061,0.24174156459330104,0.32772673884849146,0.22028466256114043,0.25011408663612417,0.0629117155906761,0.23746783813964034,0.27266003787783394,0.1967847637238106,0.1733524426086619
2023-06-09,0.11421707437611077,0.056481379670058014,0.17243215069245083,0.16638613323857837,0.19709983751349663,0.23084820399654363,0.2339970126468182,0.3208076480884408,0.21751854344889543,0.2587971177563807,0.022333964073676153,0.22857333398556282,0.272574765795379,0.18138905778163344,0.14061123620199645
2023-06-16,0.11694904773482812,0.0762718125563693,0.1888346823679287,0.16344111171490422,0.1852870772501039,0.21989571851507098,0.24008201222039663,0.36087995492810854,0.20206328302530993,0.2622845701672507,0.022333964073676153,0.20451719027792528,0.27293518800969424,0.14838177899112168,0.14975543204051248
2023-06-23,0.11468734168558241,0.10947853553325049,0.19021072887777188,0.16662441182761467,0.1832259397738255,0.22941157327176576,0.24005238559017467,0.3500980372981048,0.2053026867225993,0.2620533712988336,0.017652240439431408,0.20477161075296266,0.16803484819829315,0.14561749778857735,0.15461515354938035
2023-07-03,0.13056273878560257,0.10976811527610837,0.18907000622387998,0.16843722908467945,0.17781029071253426,0.23231870172295577,0.23923341232798614,0.3453981166876039,0.1941955687038564,0.24542078159645575,0.01869256553694883,0.2055605602407583,0.1412930305797634,0.19340262961184973,0.16441400460361894
2023-07-07,0.14528019700369688,0.10996459027277426,0.15149965388007458,0.17362778061283698,0.17828488345336455,0.19375875477308552,0.24090463226298436,0.34546855742339605,0.19292548879048174,0.25160495146739986,0.01810343615625819,0.16393509379766164,0.139012724949692,0.24315490485201238,0.1638836647949112
2023-07-14,0.14519135290467697,0.10962725067221689,0.1892063982996545,0.18680919412987307,0.15449610271218286,0.19179610892493584,0.23690973852808547,0.33526153569137773,0.18459685944026533,0.2536304156333889,0.01992552013778369,0.1724982597551988,0.13677198273460012,0.2516646192900113,0.1661592308425271
2023-07-21,0.14745788053668737,0.11009095773267152,0.1900685043267831,0.18604467483677373,0.15274513895344416,0.18719215448740537,0.237085214733658,0.3286065668791893,0.16246572490114133,0.25792435643157446,0.021573723499479204,0.22545263559492937,0.14488598246536494,0.25102589955445626,0.16467862196894353
2023-07-28,0.14850134309728033,0.11500931189762889,0.19181679796004075,0.18856940987999665,0.1725317539574403,0.19837040199946282,0.23745152017365273,0.3705500895155349,0.16114196692066698,0.2601446038834997,0.021602778386769942,0.22372036057538225,0.1409084738482554,0.24968560881278876,0.15294917203771968
2023-08-04,0.13914032714117416,0.11842787416002157,0.1939484594962356,0.1924257714497124,0.17474858408373606,0.24587235449059155,0.2451569454673759,0.3182903556510184,0.16694296494369526,0.25049432930204374,0.021578857570870993,0.23366501395832698,0.130899732904342,0.27344843359959664,0.1608005589186255
2023-08-11,0.14785113664550664,0.1177661440439705,0.19206483594164867,0.1883931836876886,0.18784457126380252,0.24403214474817123,0.22425313553837523,0.2880425967787959,0.1662587871773119,0.196736818648278,0.021585686816709228,0.23680557010072834,0.13223396840850524,0.26209911015090936,0.1813057798446756
2023-08-18,0.1480642590622103,0.13252068253803975,0.16957587988021772,0.188024189830316,0.17914800694191424,0.2518865178545687,0.22429406450020084,0.3057522481726596,0.16623845796359538,0.19298106034089085,0.02159475068370269,0.23835939401404913,0.12807817949823389,0.2552741275097562,0.17732486037190706
2023-08-25,0.12498218640448353,0.13269181251544007,0.157950488814927,0.12436902722365595,0.18179341206083774,0.2544480168276384,0.16593025570529057,0.30545744345382575,0.16084415969788932,0.19665118499029563,0.021600075181392064,0.2032177750757093,0.13126375480769065,0.255143249551608,0.17384637093076005
2023-09-01,0.1193415932450505,0.14007780628584507,0.15793618907707463,0.15733473855526814,0.17856443874778452,0.2556811869080538,0.12231411443702574,0.3049979238006717,0.18085496797975334,0.1619695874794862,0.023145757744516826,0.19748178851615114,0.09973397635152526,0.2618004300551662,0.1734588634510731
2023-09-08,0.13201840422913574,0.14696109493051976,0.16905086228038066,0.15760911282744447,0.18056984591998035,0.25670572000785763,0.11421253009147152,0.3040749186712781,0.18032078825447567,0.1701932599693715,0.1292351585047627,0.18558591895549978,0.14781510258023972,0.28546515549121126,0.18570563832576853
2023-09-15,0.12058895187449238,0.1366784743078008,0.13544411688923433,0.17411066731433855,0.17346211127728228,0.26459434799350173,0.12590862878171136,0.2404103451107638,0.16701355759777528,0.17959691060474842,0.13146437638588487,0.18320315242014007,0.2583192728028013,0.28705659212746004,0.18541048142062883
2023-09-22,0.12227564140800468,0.10598544314460442,0.13748586517406627,0.17716709703335076,0.17439430672366676,0.25742935572157627,0.12508970475871806,0.2464419912975587,0.16454166806178505,0.18667014877876562,0.13210989525642267,0.19206648134773377,0.25886993801000363,0.2979963944412204,0.1798100097723387
2023-10-02,0.11328121499619617,0.11958082398074767,0.12551951991677934,0.17698375293178245,0.17842261740052517,0.22551130727716392,0.13667573255669788,0.2439825060821322,0.1584263399989156,0.18175562516627342,0.13997418903849032,0.1926481484204474,0.26303521281779096,0.2665347220150902,0.17463045042984357
2023-10-06,0.11788004413703694,0.12901951248301655,0.16848805705462033,0.17901564754244872,0.18585641443503687,0.22822390494266326,0.13743567555083835,0.24701238201667622,0.16347750026109978,0.2625365414725001,0.13848526550377452,0.23211071729115626,0.39313284679980043,0.2136101899129988,0.1776214000057898
2023-10-13,0.11796775344905581,0.141430517032626,0.14617285663065122,0.18321274637492913,0.1857601897422233,0.22142661529744048,1.826714040055934,0.2493101322700151,0.17739954935685637,0.25984953638418945,0.13887453439163228,0.23211071729115626,0.41895998964421144,0.21174475832443757,0.17438592476858922
2023-10-20,0.11519990346668443,0.14238851835837688,0.15981532809373347,0.18334748188905164,0.1837639512420973,0.22057354570808943,1.8279919388440353,0.2557796614607214,0.1575145336168732,0.2626191525103762,0.14147364222356631,0.20463353059623354,0.42165760732573243,0.20896551888968934,0.17438592476858922
2023-10-27,0.11697866057948426,0.1441118421847392,0.1493688619134701,0.18195358945676685,0.093634749184429,0.19097174641549405,1.8257966207658296,0.1302011874024345,0.16204758111002598,0.27639483807542103,0.1452922337268578,0.2068181126938096,0.4379854465158878,0.1957203991683748,0.1833610333195709
2023-11-03,0.11696230024739988,0.1331184485763846,0.1426875700033545,0.17966020078603492,0.0932456439930247,0.17335628766021713,1.8212319434101234,0.12977925748167007,0.15333438045030817,0.2758360923886598,0.16085741655626629,0.19429596748099867,0.4381593682015469,0.18041165667863787,0.17348133264614957
2023-11-10,0.10982592605078487,0.13457719449549316,0.14274387417095727,0.1856091926119984,0.0893040896695491,0.17341966338572132,1.8187169857812886,0.13031821944661365,0.1568713766060128,0.2758482065722422,0.18060709965401558,0.20224915238174845,0.435505614418648,0.17434593776973317,0.15628304629653889
2023-11-17,0.11496169140623694,0.1299899148218909,0.14618337274249504,0.20914227497355806,0.08967665671753647,0.17440912557470292,1.817251257085205,0.12488131581867347,0.16205133175485387,0.27582177088465853,0.19866033806137545,0.20164715469145297,0.43792038626280494,0.17880934971773954,0.15632204584909268
2023-11-24,0.11496357287643384,0.1300007157122276,0.14618337274249504,0.20114002736121406,0.08813296128545858,0.18226362958698938,1.8181081637103174,0.12481017894090315,0.16163113557757267,0.2768609128046364,0.19860386757593892,0.19884941120481636,0.4351162744822365,0.17839950430879112,0.15654250777249812
2023-12-01,0.12146460775152554,0.13805238342723294,0.15662703110502726,0.1976923604541473,0.08939001268060504,0.19254253759573128,1.809170374249864,0.12382807933874673,0.15796633017562287,0.25878808510247514,0.2094908195348491,0.21073678168028376,0.4864999608268271,0.19858201907075435,0.14827107582319032
2023-12-08,0.10518825990691132,0.13588704056396278,0.15404236613330832,0.19899290576456707,0.08799275652923512,0.19244035221700403,1.8054066150140913,0.16841942867056978,0.16296846704216442,0.24653425009197208,0.162106596588078,0.21523620102919666,0.47826369056048174,0.21881831860448775,0.11695738021244176
2023-12-15,0.1061591085397378,0.15398837464094595,0.152907009022066,0.19838516988731292,0.08648809121335993,0.19161627847177878,1.798236224941989,0.20309624264719595,0.17018525744568358,0.2351937397484914,0.155637099852267,0.2150247090661728,0.4449148483815429,0.23654446461662226,0.10431949263392387
2023-12-22,0.10310873125095228,0.16490142538510344,0.16364190478388047,0.1920089643275645,0.08580952890378273,0.19161627847177878,1.7998874037267638,0.2003215477871833,0.15747327759655522,0.2221277105072906,0.1621873286023242,0.2665033988827037,0.44078529548282264,0.23062732499468483,0.099936105622704
2023-12-29,0.11004727438460053,0.15933317107205003,0.22432770490405168,0.19107569161131316,0.09083216767130885,0.204344473480003,1.8025197684055634,0.20030312292749985,0.15144727002503194,0.22516466897394063,0.1587258100086844,0.2826042985764579,0.4408253191700705,0.23602587818824852,0.09799024112578822
2024-01-05,0.0940957543682274,0.14847369460699403,0.2096083096792841,0.15988461527792966,0.07446806854143939,0.1959693358459882,1.7991957573293555,0.1968419983999256,0.13988681980846784,0.15250512737073849,0.1587258100086844,0.3201251718139814,0.3443136895142169,0.26587369861027,0.09907338398160254
2024-01-12,0.10349169957260763,0.14227577574057176,0.21104464332499667,0.15646028541453472,0.0755672017259197,0.2069427680937819,0.0737857009446311,0.1956574591936159,0.12475335565776753,0.15267357825946146,0.1587258100086844,0.32339460191956776,0.3030939861734827,0.27147101160378617,0.11272548886068909
2024-01-19,0.10544107547042161,0.168287949423038,0.20541115396788556,0.14413505795261403,0.07413970870794837,0.2049807713766163,0.07092014976474008,0.1807608268802516,0.14593542855855876,0.132032124966224,0.16179701399565274,0.3223417339641551,0.29429722485110316,0.2694886753972668,0.12150698014295788
2024-01-26,0.10006662147981507,0.1634560880577581,0.2147818250985551,0.14382702337811812,0.09810247781469757,0.2092254834998584,0.06946330773257538,0.15385358659423282,0.1383856899132174,0.1019011780931392,0.15540058199608317,0.313478761011109,0.28305846889351105,0.2724648290437489,0.1129492291590613
2024-02-02,0.09780512285753562,0.16427606330157027,0.21435736172541536,0.14526841399288107,0.10337451643016264,0.20384832138991021,0.07607038140034213,0.27397084106886976,0.13858945301602418,0.10792752865687351,0.14326698457078005,0.32188768763492975,0.2840077568392965,0.2772173159282193,0.11435266259689762
2024-02-09,0.11924489967718675,0.16417576881410176,0.23885798689731974,0.19924956286846693,0.09856274958057563,0.19380864128256514,0.0724375241591232,0.2868528558152666,0.13151378968147134,0.11006503715569739,0.14016938614162888,0.30963740506108217,0.28409591965522735,0.27687250727830903,0.1168520331564294
2024-02-16,0.11688400010442092,0.16362999769405626,0.23834143204294408,0.1884326756098405,0.11218330584020718,0.19242431729488363,0.08017418093094394,0.3708588301750757,0.1387445258689849,0.11015213429944856,0.11665762744709508,0.30160831272843114,0.2816899245248445,0.2673241395754875,0.11695351389907614
2024-02-23,0.11913846057499933,0.16270945918068047,0.2596098175068362,0.2211109160330724,0.1242919924170156,0.18748839269371073,0.08017418093094394,0.3735807570427701,0.14206661792675523,0.10342746814588895,0.11710293687901671,0.3017992275659861,0.2986099812156488,0.27878912085716917,0.11910250266424227
2024-03-01,0.1194363425675583,0.14510765333658,0.25216675175034214,0.21641886819422132,0.1211210158903692,0.17314108283281884,0.08528263099925715,0.3686117661292679,0.1162085926496475,0.11166939590078782,0.13814023042031529,0.28154238181234215,0.21965723025177017,0.2687436934016121,0.0973555556289721
2024-03-08,0.13041107237477031,0.14878449602946578,0.2499328704629205,0.21315238553983779,0.12129351239840898,0.17121399578092444,0.0888818116399324,0.36240995286326305,0.1196388153775628,0.11329240919769372,0.14802554750660088,0.30050852599893874,0.18500864273196732,0.254476339323769,0.10174819628302353
2024-03-15,0.1461399144617793,0.13945190935765028,0.2711811971729437,0.1986442554812953,0.12225694751126628,0.15361939238877423,0.09085915289382787,0.3489562841756653,0.11409803501791231,0.10262014275294766,0.14802554750660088,0.30151307612594275,0.19209340999124627,0.245029055271572,0.10150027855334826
2024-03-22,0.15475931293348666,0.1310846910252203,0.25696148894669824,0.19561844482013288,0.13124349804848262,0.15169356955407087,0.07281757863973656,0.34840882258837347,0.1241939274120346,0.10356417136695263,0.14294379451958003,0.26378906028628407,0.20536843695089238,0.2319085994010098,0.10150027855334826
2024-03-29,0.14645701580038714,0.12795733371076357,0.21393283443068023,0.19455339332202418,0.1289015157856223,0.14539943576821263,0.07702682288610675,0.34834754282001373,0.12781253107445628,0.10693668000623718,0.14306284681478695,0.24193532757128,0.19475716428078718,0.23047734985528526,0.10180793640611589
2024-04-05,0.1454524342875091,0.12724691848826222,0.21270471477442765,0.20498042240788147,0.13332004554627744,0.16656665642350504,0.07767157625394577,0.34671194449105347,0.13236005627086198,0.08592570571428723,0.14308920657162605,0.1338759786101067,0.24235344502700054,0.20033091640020742,0.10637409697699238
2024-04-15,0.1421862268276575,0.12731956628030025,0.21041867529311578,0.2002354783719607,0.1323049316950193,0.14867955404812974,0.07767157625394577,0.3474845878599998,0.15943722990737189,0.08375314353969168,0.14829483495034268,0.21731088598401496,0.249584179030027,0.19258813981784387,0.09637866521409084
2024-04-19,0.14229865422093732,0.09706022644741386,0.21118431149879832,0.2077603155369584,0.13351609839248477,0.1465803710857296,0.08804586413153943,0.34952285534078414,0.14659169743650552,0.10396640563296033,0.14525926408661816,0.47704213768213305,0.26016801706674997,0.20379121898951266,0.08249579019955623
2024-04-26,0.14148873398136483,0.09502832179941866,0.20065890600363856,0.20593904943205138,0.10912248660139884,0.12880779864806643,0.09551504387193573,0.34826289688531403,0.15983247096189473,0.11653396312244597,0.14568407531064215,0.48299351597149454,0.34071314292164223,0.19786773278604614,0.08249041507514646
2024-05-03,0.14184094597665023,0.09025629141899458,0.20832299158465148,0.20530067795897192,0.10787749079945529,0.12718018946519874,0.0877243177208864,0.2718579687741654,0.16412350626075237,0.11303862415438622,0.14624124453118167,0.4750251548422855,0.33833476414651464,0.21119127072677002,0.09347866126699715
2024-05-10,0.11793128126975568,0.08866827066795697,0.17383991354068928,0.17966623401509166,0.10343059239922016,0.11458205923825093,0.08692169496607138,0.25332381432527096,0.2157652112615439,0.11578910144051133,0.130077273116716,0.4748741710004129,0.3384560599971305,0.21420684264221707,0.09030874671763604
2024-05-17,0.11939953890088942,0.07195992172398456,0.17161949651383043,0.1783189402585741,0.09720039763925423,0.11420539581244117,0.08188079664296279,0.10955836805419761,0.2292759229401475,0.11790740320314895,0.12366983205420955,0.4917454067203044,0.341587384935346,0.24192728124166582,0.09924352636906593
2024-05-24,0.11148492893575303,0.07678433688663394,0.1441398834473626,0.14162516059673508,0.08798360942342683,0.11166237293777384,0.08564282797742913,0.0838261124992629,0.24003865330143365,0.11919034076267988,0.1254830121451136,0.4908116410160097,0.3307970596231969,0.22919933393954633,0.10414173193924406
2024-05-31,0.1076208470784963,0.08307513982876513,0.13961884876777417,0.11948639499091866,0.08899274402872745,0.11365824469376398,0.08648173427363832,0.06873730422109742,0.23629988536376986,0.11866480769502119,0.08036037823495137,0.5036878484950318,0.3334044291891544,0.21926023533556982,0.110791201541222
2024-06-07,0.10082599948923074,0.08584054822850534,0.14347895148607756,0.11964398896592915,0.08890202011247067,0.11340274875134126,0.08715252670705695,0.0702977646598977,0.22790828411466466,0.11624881916287358,0.06110665635152251,0.49032940372931233,0.34473188990670445,0.21988503167244805,0.13964203070671827
