Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de contrats,Capitalisation,Cours ajusté
05/12/2025,ATTIJARIWAFA BANK,ATW,716.1,725.0,725.0,716.1,57820.0,41653637.7,65,155977108275.0,725.0
04/12/2025,ATTIJARIWAFA BANK,ATW,720.0,718.5,724.9,717.5,6500.0,4678116.6,99,154578692821.5,718.5
03/12/2025,ATTIJARIWAFA BANK,ATW,717.0,720.2,725.0,717.0,44052.0,31766725.5,98,154944432247.8,720.2
02/12/2025,ATTIJARIWAFA BANK,ATW,720.1,720.2,725.0,715.5,28836.0,20758863.7,78,154944432247.8,720.2
01/12/2025,ATTIJARIWAFA BANK,ATW,720.1,720.0,735.0,720.0,16406.0,11819794.1,119,154901404080.0,720.0
28/11/2025,ATTIJARIWAFA BANK,ATW,728.1,731.5,734.0,728.1,26666.0,19496363.0,89,157375523728.5,731.5
27/11/2025,ATTIJARIWAFA BANK,ATW,725.0,734.0,735.0,725.0,29807.0,21803771.9,78,157913375826.0,734.0
26/11/2025,ATTIJARIWAFA BANK,ATW,725.0,730.0,730.0,725.0,43487.0,31681237.9,82,157052812470.0,730.0
25/11/2025,ATTIJARIWAFA BANK,ATW,729.9,725.0,730.0,725.0,36993.0,26845605.1,86,155977108275.0,725.0
24/11/2025,ATTIJARIWAFA BANK,ATW,715.0,720.0,728.0,702.5,31677.0,22725799.1,177,154901404080.0,720.0
21/11/2025,ATTIJARIWAFA BANK,ATW,714.0,713.0,715.0,712.0,75666.0,53991053.4,145,153395418207.0,713.0
20/11/2025,ATTIJARIWAFA BANK,ATW,720.0,711.0,720.0,710.0,153830.0,109460711.2,355,152965136529.0,711.0
19/11/2025,ATTIJARIWAFA BANK,ATW,730.0,719.9,730.0,719.1,10301.0,7446608.2,196,154879889996.1,719.9
17/11/2025,ATTIJARIWAFA BANK,ATW,749.9,728.8,749.9,728.8,24155.0,17685097.9,154,156794643463.2,728.8
14/11/2025,ATTIJARIWAFA BANK,ATW,741.0,736.0,744.0,734.1,38342.0,28239921.2,105,158343657504.0,736.0
13/11/2025,ATTIJARIWAFA BANK,ATW,745.0,741.9,745.0,731.1,13559.0,10052870.2,60,159612988454.1,741.9
12/11/2025,ATTIJARIWAFA BANK,ATW,735.0,731.0,757.9,731.0,30206.0,22210906.6,136,157267953309.0,731.0
11/11/2025,ATTIJARIWAFA BANK,ATW,747.7,731.0,759.9,731.0,39976.0,29373087.2,204,157267953309.0,731.0
10/11/2025,ATTIJARIWAFA BANK,ATW,760.0,745.0,765.0,745.0,34768.0,26054863.0,212,160279925055.0,745.0
07/11/2025,ATTIJARIWAFA BANK,ATW,760.0,766.0,780.0,760.0,37776.0,29029808.8,143,164797882674.0,766.0
05/11/2025,ATTIJARIWAFA BANK,ATW,770.0,767.0,777.0,767.0,11555.0,8881613.2,62,165013023513.0,767.0
04/11/2025,ATTIJARIWAFA BANK,ATW,780.0,770.0,780.0,770.0,18874.0,14563230.1,99,165658446030.0,770.0
03/11/2025,ATTIJARIWAFA BANK,ATW,790.0,780.0,804.0,780.0,97105.0,77102787.8,265,167809854420.0,780.0
31/10/2025,ATTIJARIWAFA BANK,ATW,768.0,777.0,784.8,768.0,47693.0,37081471.1,150,167164431903.0,777.0
30/10/2025,ATTIJARIWAFA BANK,ATW,772.0,777.0,778.0,772.0,41305.0,32064284.9,84,167164431903.0,777.0
29/10/2025,ATTIJARIWAFA BANK,ATW,775.1,777.0,777.0,772.1,90285.0,70096796.8,104,167164431903.0,777.0
28/10/2025,ATTIJARIWAFA BANK,ATW,779.9,777.0,779.9,773.0,32008.0,24840538.1,78,167164431903.0,777.0
27/10/2025,ATTIJARIWAFA BANK,ATW,775.0,773.0,776.1,773.0,2398.0,1859843.5,44,166303868547.0,773.0
24/10/2025,ATTIJARIWAFA BANK,ATW,772.0,779.9,780.0,772.0,31299.0,24399785.0,79,167788340336.1,779.9
23/10/2025,ATTIJARIWAFA BANK,ATW,775.0,780.0,785.0,768.0,65305.0,50900685.0,102,167809854420.0,780.0
22/10/2025,ATTIJARIWAFA BANK,ATW,770.0,780.0,784.9,770.0,86343.0,67334876.8,148,167809854420.0,780.0
21/10/2025,ATTIJARIWAFA BANK,ATW,748.0,768.3,768.3,745.3,81012.0,61764448.5,114,165292706603.7,768.3
20/10/2025,ATTIJARIWAFA BANK,ATW,742.0,744.0,744.0,730.0,59414.0,44065978.6,131,160064784216.0,744.0
17/10/2025,ATTIJARIWAFA BANK,ATW,730.0,728.0,736.0,720.0,64343.0,46718227.7,79,156622530792.0,728.0
16/10/2025,ATTIJARIWAFA BANK,ATW,735.0,730.0,739.0,715.0,65880.0,48060684.9,118,157052812470.0,730.0
15/10/2025,ATTIJARIWAFA BANK,ATW,730.0,715.0,743.0,710.0,69210.0,49403636.6,160,153825699885.0,715.0
14/10/2025,ATTIJARIWAFA BANK,ATW,739.8,730.0,739.8,720.0,68631.0,50025951.5,145,157052812470.0,730.0
13/10/2025,ATTIJARIWAFA BANK,ATW,728.1,739.8,749.0,728.1,12651.0,9278994.1,66,159161192692.2,739.8
10/10/2025,ATTIJARIWAFA BANK,ATW,731.0,730.0,735.0,725.0,110288.0,80260187.0,194,157052812470.0,730.0
09/10/2025,ATTIJARIWAFA BANK,ATW,741.1,730.0,755.0,730.0,46992.0,34375304.6,134,157052812470.0,730.0
08/10/2025,ATTIJARIWAFA BANK,ATW,756.0,746.0,757.9,746.0,27128.0,20331949.0,102,160495065894.0,746.0
