Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de contrats,Capitalisation,Cours ajusté
05/12/2025,BANK OF AFRICA,BOA,230.0,234.0,234.95,230.0,96377.0,22319282.6,24,51545960154.0,234.0
04/12/2025,BANK OF AFRICA,BOA,232.0,230.0,235.0,230.0,2623.0,607635.45,73,50664832630.0,230.0
03/12/2025,BANK OF AFRICA,BOA,227.0,230.0,230.0,223.5,55273.0,12454487.75,53,50664832630.0,230.0
02/12/2025,BANK OF AFRICA,BOA,224.0,224.0,227.35,221.3,2664.0,596891.1,27,49343141344.0,224.0
01/12/2025,BANK OF AFRICA,BOA,224.9,223.0,228.45,221.35,16413.0,3691520.45,35,49122859463.0,223.0
28/11/2025,BANK OF AFRICA,BOA,230.0,224.9,230.0,221.2,15278.0,3431435.0,31,49541395036.9,224.9
27/11/2025,BANK OF AFRICA,BOA,225.0,225.0,227.85,222.5,47796.0,10755948.1,45,49563423225.0,225.0
26/11/2025,BANK OF AFRICA,BOA,227.8,225.0,227.8,221.0,6037.0,1358767.3,25,49563423225.0,225.0
25/11/2025,BANK OF AFRICA,BOA,227.9,220.1,227.9,220.1,1253.0,278145.8,25,48484042008.1,220.1
24/11/2025,BANK OF AFRICA,BOA,218.5,219.0,222.0,218.0,953.0,210130.9,38,48241731939.0,219.0
21/11/2025,BANK OF AFRICA,BOA,220.0,220.0,220.0,219.0,42940.0,9446790.2,43,48462013820.0,220.0
20/11/2025,BANK OF AFRICA,BOA,223.0,220.0,225.0,220.0,42665.0,9395105.9,61,48462013820.0,220.0
19/11/2025,BANK OF AFRICA,BOA,221.1,226.8,226.8,221.1,3125.0,696281.9,47,49959930610.8,226.8
17/11/2025,BANK OF AFRICA,BOA,232.95,225.1,232.95,224.0,18480.0,4194894.2,42,49585451413.1,225.1
14/11/2025,BANK OF AFRICA,BOA,231.9,227.0,231.9,225.0,21893.0,4964810.95,53,50003986987.0,227.0
13/11/2025,BANK OF AFRICA,BOA,225.0,230.0,232.3,225.0,516.0,116877.7,19,50664832630.0,230.0
12/11/2025,BANK OF AFRICA,BOA,237.0,226.5,237.0,222.6,44206.0,10011473.35,92,49893846046.5,226.5
11/11/2025,BANK OF AFRICA,BOA,236.1,226.5,238.9,226.5,11159.0,2537485.6,51,49893846046.5,226.5
10/11/2025,BANK OF AFRICA,BOA,236.0,236.1,240.0,236.0,1064.0,251694.7,18,52008552104.1,236.1
07/11/2025,BANK OF AFRICA,BOA,244.95,235.0,244.95,235.0,17581.0,4148962.1,60,51766242035.0,235.0
05/11/2025,BANK OF AFRICA,BOA,244.95,241.0,245.0,238.0,1611.0,386831.45,31,53087933321.0,241.0
04/11/2025,BANK OF AFRICA,BOA,241.0,244.9,247.7,241.0,532124.0,128780926.1,36,53947032656.9,244.9
03/11/2025,BANK OF AFRICA,BOA,245.0,242.0,248.7,242.0,8796.0,2152203.7,78,53308215202.0,242.0
31/10/2025,BANK OF AFRICA,BOA,246.0,242.0,247.7,240.15,24728.0,5984391.6,56,53308215202.0,242.0
30/10/2025,BANK OF AFRICA,BOA,249.75,241.0,249.8,241.0,45088.0,10866980.4,51,53087933321.0,241.0
29/10/2025,BANK OF AFRICA,BOA,250.1,245.0,251.9,245.0,185016.0,45452088.45,100,53969060845.0,245.0
28/10/2025,BANK OF AFRICA,BOA,243.5,250.0,250.05,243.1,36531.0,9068735.4,68,55070470250.0,250.0
27/10/2025,BANK OF AFRICA,BOA,245.0,244.0,247.0,244.0,1622.0,398410.7,36,53748778964.0,244.0
24/10/2025,BANK OF AFRICA,BOA,245.9,245.0,245.9,243.2,3673.0,900644.25,26,52867651585.0,245.0
23/10/2025,BANK OF AFRICA,BOA,246.0,245.9,246.0,240.0,27919.0,6862736.45,33,53061859284.7,245.9
22/10/2025,BANK OF AFRICA,BOA,244.0,245.0,246.0,241.0,57804.0,14159767.0,43,52867651585.0,245.0
21/10/2025,BANK OF AFRICA,BOA,246.6,243.0,246.6,240.0,66102.0,15951139.3,43,52436078919.0,243.0
20/10/2025,BANK OF AFRICA,BOA,236.0,240.0,243.0,231.5,34781.0,8306441.7,42,51788719920.0,240.0
17/10/2025,BANK OF AFRICA,BOA,228.0,230.0,235.0,228.0,25764.0,5890585.0,37,49630856590.0,225.4
