Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de contrats,Capitalisation,Cours ajusté
05/12/2025,CDM,CDM,958.0,951.0,979.9,951.0,2094.0,1992303.9,28.0,10348034514.0,951.0
04/12/2025,CDM,CDM,980.0,980.0,980.0,955.0,2984.0,2920262.0,13.0,10663589720.0,980.0
03/12/2025,CDM,CDM,950.0,980.0,980.0,950.0,262.0,253436.4,10.0,10663589720.0,980.0
02/12/2025,CDM,CDM,967.0,970.0,970.0,940.0,850.0,814519.2,39.0,10554777580.0,970.0
01/12/2025,CDM,CDM,998.0,968.5,998.0,968.0,115.0,113179.0,16.0,10538455759.0,968.5
28/11/2025,CDM,CDM,996.0,967.0,996.0,966.2,1405.0,1366990.5,22.0,10522133938.0,967.0
27/11/2025,CDM,CDM,998.0,998.0,998.0,942.0,292.0,283759.8,41.0,10859451572.0,998.0
26/11/2025,CDM,CDM,944.0,994.0,1000.0,932.1,8251.0,7845361.8,27.0,10815926716.0,994.0
25/11/2025,CDM,CDM,969.0,940.0,969.0,940.0,1161.0,1094092.1,35.0,10228341160.0,940.0
24/11/2025,CDM,CDM,960.1,950.0,970.0,942.0,2086.0,1981355.2,19.0,10337153300.0,950.0
21/11/2025,CDM,CDM,962.0,960.0,967.0,960.0,2540.0,2438539.0,35.0,10445965440.0,960.0
20/11/2025,CDM,CDM,975.0,970.0,975.0,970.0,1879.0,1822700.0,17.0,10554777580.0,970.0
19/11/2025,CDM,CDM,983.0,973.0,999.0,973.0,371.0,363771.0,13.0,10587421222.0,973.0
17/11/2025,CDM,CDM,1024.0,982.1,1024.0,980.0,330.0,327707.4,22.0,10686440269.4,982.1
14/11/2025,CDM,CDM,1000.0,980.0,1017.0,980.0,7326.0,7210462.0,31.0,10663589720.0,980.0
13/11/2025,CDM,CDM,995.0,1000.0,1021.0,990.0,7974.0,7992745.0,20.0,10881214000.0,1000.0
12/11/2025,CDM,CDM,994.0,994.0,994.0,994.0,500.0,497000.0,6.0,10815926716.0,994.0
