Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de contrats,Capitalisation,Cours ajusté
05/12/2025,CIH,CIH,409.0,415.0,415.0,405.1,5635.0,2328775.25,40.0,14776333960.0,415.0
04/12/2025,CIH,CIH,409.0,407.0,409.0,405.0,778.0,315616.15,16.0,14491488968.0,407.0
03/12/2025,CIH,CIH,408.0,407.0,409.0,405.0,18384.0,7482225.6,20.0,14491488968.0,407.0
02/12/2025,CIH,CIH,402.0,404.0,408.9,402.0,52181.0,21129107.4,57.0,14384672096.0,404.0
01/12/2025,CIH,CIH,409.0,409.0,409.0,405.0,24999.0,10132480.45,51.0,14562700216.0,409.0
28/11/2025,CIH,CIH,409.5,402.0,409.5,401.0,5522.0,2221853.65,20.0,14313460848.0,402.0
27/11/2025,CIH,CIH,405.0,401.0,409.0,401.0,10756.0,4332392.0,32.0,14277855224.0,401.0
26/11/2025,CIH,CIH,408.85,409.0,409.0,408.5,1143.0,467475.6,9.0,14562700216.0,409.0
25/11/2025,CIH,CIH,402.2,403.1,408.5,402.2,7109.0,2864157.25,22.0,14352627034.4,403.1
24/11/2025,CIH,CIH,401.0,405.0,411.8,401.0,1288.0,521122.3,26.0,14420277720.0,405.0
21/11/2025,CIH,CIH,401.0,410.0,412.0,401.0,16731.0,6809037.0,17.0,14598305840.0,410.0
20/11/2025,CIH,CIH,410.0,401.0,412.0,401.0,7807.0,3157947.0,44.0,14277855224.0,401.0
19/11/2025,CIH,CIH,410.55,410.35,411.0,410.35,321.0,131798.65,14.0,14610767808.4,410.35
17/11/2025,CIH,CIH,415.2,416.0,420.0,413.0,465.0,193476.45,15.0,14811939584.0,416.0
14/11/2025,CIH,CIH,412.2,420.0,424.0,412.2,8299.0,3485447.6,16.0,14954362080.0,420.0
13/11/2025,CIH,CIH,410.1,424.9,424.9,410.1,2525.0,1063602.5,11.0,15128829637.6,424.9
12/11/2025,CIH,CIH,416.0,420.0,420.0,416.0,140.0,58306.0,6.0,14954362080.0,420.0
11/11/2025,CIH,CIH,416.5,418.0,420.0,411.2,1116.0,464911.35,34.0,14883150832.0,418.0
10/11/2025,CIH,CIH,427.8,427.8,427.8,427.8,80.0,34224.0,1.0,15232085947.2,427.8
07/11/2025,CIH,CIH,417.0,428.4,428.7,417.0,1951.0,825488.7,21.0,15253449321.6,428.4
05/11/2025,CIH,CIH,429.45,428.9,429.45,419.0,1953.0,834645.25,30.0,15271252133.6,428.9
04/11/2025,CIH,CIH,418.1,429.45,429.8,418.1,117.0,50261.8,6.0,15290835226.8,429.45
03/11/2025,CIH,CIH,430.0,429.8,432.0,420.1,22699.0,9760411.55,58.0,15303297195.2,429.8
31/10/2025,CIH,CIH,423.45,425.0,425.0,423.45,14334.0,6088211.45,28.0,15132390200.0,425.0
30/10/2025,CIH,CIH,424.0,420.0,424.5,415.05,14890.0,6257926.05,31.0,14954362080.0,420.0
29/10/2025,CIH,CIH,424.5,424.0,424.5,424.0,1603.0,679673.9,7.0,15096784576.0,424.0
28/10/2025,CIH,CIH,421.0,425.0,425.0,410.0,10164.0,4302909.3,42.0,15132390200.0,425.0
27/10/2025,CIH,CIH,425.8,422.0,425.8,421.0,724.0,307620.5,10.0,15025573328.0,422.0
24/10/2025,CIH,CIH,421.0,426.0,426.0,420.05,35400.0,14990180.95,44.0,15167995824.0,426.0
23/10/2025,CIH,CIH,420.0,424.5,424.5,420.0,12394.0,5258217.55,31.0,15114587388.0,424.5
