Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de contrats,Capitalisation,Cours ajusté
05/12/2025,COSUMAR,CSR,197.0,198.0,198.9,197.0,131244.0,26011296.0,48,18708454314.0,198.0
04/12/2025,COSUMAR,CSR,200.0,197.0,200.0,195.0,2363.0,465435.85,54,18613967171.0,197.0
03/12/2025,COSUMAR,CSR,200.0,197.0,200.0,197.0,3828.0,756057.3,64,18613967171.0,197.0
02/12/2025,COSUMAR,CSR,199.95,199.9,200.0,198.0,42645.0,8486254.75,48,18887979885.7,199.9
01/12/2025,COSUMAR,CSR,202.75,199.95,202.75,198.0,1294.0,258373.55,67,18892704242.85,199.95
28/11/2025,COSUMAR,CSR,197.0,198.0,200.95,197.0,5519.0,1094377.75,51,18708454314.0,198.0
27/11/2025,COSUMAR,CSR,201.0,196.0,202.0,196.0,3166.0,625441.85,66,18519480028.0,196.0
26/11/2025,COSUMAR,CSR,199.9,200.0,200.5,198.1,6811.0,1362136.45,53,18897428600.0,200.0
25/11/2025,COSUMAR,CSR,199.0,200.0,200.0,196.0,3706.0,738724.45,69,18897428600.0,200.0
24/11/2025,COSUMAR,CSR,200.0,194.0,203.0,194.0,174732.0,34129243.35,296,18330505742.0,194.0
21/11/2025,COSUMAR,CSR,202.0,200.0,202.9,197.05,33607.0,6730396.1,64,18897428600.0,200.0
20/11/2025,COSUMAR,CSR,204.7,195.0,204.7,195.0,10909.0,2153340.05,144,18424992885.0,195.0
19/11/2025,COSUMAR,CSR,204.0,198.0,208.6,198.0,43773.0,8679919.55,208,18708454314.0,198.0
17/11/2025,COSUMAR,CSR,211.9,204.0,211.9,204.0,4131.0,848655.4,73,19275377172.0,204.0
14/11/2025,COSUMAR,CSR,211.8,204.0,212.0,204.0,37892.0,7769093.65,63,19275377172.0,204.0
13/11/2025,COSUMAR,CSR,209.9,207.0,212.3,207.0,3997.0,837224.2,64,19558838601.0,207.0
12/11/2025,COSUMAR,CSR,208.0,204.0,213.05,202.0,3539.0,727382.05,80,19275377172.0,204.0
11/11/2025,COSUMAR,CSR,209.0,200.0,209.0,200.0,22990.0,4637689.75,228,18897428600.0,200.0
10/11/2025,COSUMAR,CSR,214.0,205.95,217.0,205.95,16579.0,3455450.3,147,19459627100.85,205.95
07/11/2025,COSUMAR,CSR,216.0,210.0,216.0,210.0,8182.0,1723156.7,49,19842300030.0,210.0
05/11/2025,COSUMAR,CSR,214.15,210.0,215.0,210.0,33086.0,6965882.8,85,19842300030.0,210.0
04/11/2025,COSUMAR,CSR,215.5,215.7,217.5,214.0,2443.0,523529.2,31,20380876745.1,215.7
03/11/2025,COSUMAR,CSR,218.5,215.0,218.5,215.0,11232.0,2416636.05,51,20314735745.0,215.0
31/10/2025,COSUMAR,CSR,216.0,217.0,218.7,216.0,14950.0,3241001.7,45,20503710031.0,217.0
30/10/2025,COSUMAR,CSR,218.95,217.0,218.95,216.1,10775.0,2336555.95,21,20503710031.0,217.0
29/10/2025,COSUMAR,CSR,216.0,216.4,219.0,216.0,80360.0,17434919.2,41,20447017745.2,216.4
28/10/2025,COSUMAR,CSR,218.1,218.0,219.5,217.0,13121.0,2860330.35,41,20598197174.0,218.0
27/10/2025,COSUMAR,CSR,219.0,219.0,220.0,218.15,2291.0,502316.35,49,20692684317.0,219.0
24/10/2025,COSUMAR,CSR,210.3,218.1,218.1,210.3,35491.0,7654753.1,87,20607645888.3,218.1
23/10/2025,COSUMAR,CSR,213.9,213.0,213.9,212.0,26444.0,5618827.8,27,20125761459.0,213.0
22/10/2025,COSUMAR,CSR,211.05,212.0,213.95,210.2,109576.0,23124352.6,87,20031274316.0,212.0
21/10/2025,COSUMAR,CSR,209.6,213.0,213.0,208.0,34307.0,7274448.7,60,20125761459.0,213.0
20/10/2025,COSUMAR,CSR,208.9,207.0,208.9,205.0,3954.0,818680.15,42,19558838601.0,207.0
17/10/2025,COSUMAR,CSR,206.0,204.0,207.35,203.2,5863.0,1200277.25,35,19275377172.0,204.0
16/10/2025,COSUMAR,CSR,200.0,204.25,204.25,199.0,78101.0,15777292.45,42,19298998957.75,204.25
15/10/2025,COSUMAR,CSR,204.45,198.9,204.45,197.0,72953.0,14420995.6,110,18793492742.7,198.9
14/10/2025,COSUMAR,CSR,208.0,198.0,209.6,198.0,145746.0,29102169.45,203,18708454314.0,198.0
13/10/2025,COSUMAR,CSR,207.95,204.05,208.0,200.05,14533.0,2962021.55,66,19280101529.15,204.05
10/10/2025,COSUMAR,CSR,207.95,204.0,207.95,202.0,74429.0,15185828.35,80,19275377172.0,204.0
09/10/2025,COSUMAR,CSR,210.0,201.0,210.0,201.0,152451.0,31039387.85,207,18991915743.0,201.0
08/10/2025,COSUMAR,CSR,210.0,210.0,210.0,205.0,24201.0,4969185.05,78,19842300030.0,210.0
07/10/2025,COSUMAR,CSR,214.0,208.0,214.0,208.0,3799.0,795075.0,104,19653325744.0,208.0
