Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de contrats,Capitalisation,Cours ajusté
05/12/2025,AFRIQUIA GAZ,GAZ,4200.0,4200.0,4200.0,4200.0,320.0,1344000.0,8.0,14437500000.0,4200.0
04/12/2025,AFRIQUIA GAZ,GAZ,4049.0,4149.0,4199.0,4049.0,9.0,37441.0,5.0,14262187500.0,4149.0
03/12/2025,AFRIQUIA GAZ,GAZ,4035.0,4000.0,4035.0,4000.0,8391.0,33564635.0,19.0,13750000000.0,4000.0
02/12/2025,AFRIQUIA GAZ,GAZ,4050.0,4035.0,4050.0,4035.0,6.0,24255.0,4.0,13870312500.0,4035.0
01/12/2025,AFRIQUIA GAZ,GAZ,4030.0,4029.0,4030.0,4005.0,18.0,72493.0,8.0,13849687500.0,4029.0
28/11/2025,AFRIQUIA GAZ,GAZ,4050.0,4030.0,4050.0,4030.0,429.0,1737410.0,9.0,13853125000.0,4030.0
27/11/2025,AFRIQUIA GAZ,GAZ,0.0,4050.0,0.0,0.0,0.0,0.0,0.0,13921875000.0,4050.0
26/11/2025,AFRIQUIA GAZ,GAZ,4050.0,4050.0,4050.0,4050.0,2.0,8100.0,1.0,13921875000.0,4050.0
25/11/2025,AFRIQUIA GAZ,GAZ,4050.0,4015.0,4050.0,4015.0,5.0,20180.0,3.0,13801562500.0,4015.0
24/11/2025,AFRIQUIA GAZ,GAZ,4050.0,4050.0,4050.0,4050.0,20.0,81000.0,3.0,13921875000.0,4050.0
21/11/2025,AFRIQUIA GAZ,GAZ,4100.0,4140.0,4140.0,4100.0,501.0,2074100.0,8.0,14231250000.0,4140.0
20/11/2025,AFRIQUIA GAZ,GAZ,4025.0,4100.0,4100.0,4004.0,28.0,113306.0,11.0,14093750000.0,4100.0
19/11/2025,AFRIQUIA GAZ,GAZ,4090.0,4100.0,4100.0,4090.0,17.0,69670.0,8.0,14093750000.0,4100.0
17/11/2025,AFRIQUIA GAZ,GAZ,4155.0,4011.0,4155.0,4011.0,19.0,78691.0,5.0,13787812500.0,4011.0
14/11/2025,AFRIQUIA GAZ,GAZ,4160.0,4160.0,4160.0,4160.0,2.0,8320.0,2.0,14300000000.0,4160.0
13/11/2025,AFRIQUIA GAZ,GAZ,4170.0,4012.0,4170.0,4012.0,35.0,143147.0,11.0,13791250000.0,4012.0
12/11/2025,AFRIQUIA GAZ,GAZ,4100.0,4100.0,4189.0,4100.0,24.0,98667.0,4.0,14093750000.0,4100.0
11/11/2025,AFRIQUIA GAZ,GAZ,4200.0,4200.0,4200.0,4200.0,3.0,12600.0,1.0,14437500000.0,4200.0
