Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de contrats,Capitalisation,Cours ajusté
05/12/2025,HPS,HPS,533.8,530.0,534.0,530.0,815.0,433570.0,37.0,3925280700.0,530.0
04/12/2025,HPS,HPS,535.0,530.0,539.7,520.1,426.0,222461.0,26.0,3925280700.0,530.0
03/12/2025,HPS,HPS,522.0,525.0,535.0,521.2,911.0,479714.3,48.0,3888249750.0,525.0
02/12/2025,HPS,HPS,520.1,525.0,526.0,520.1,444.0,232474.1,24.0,3888249750.0,525.0
01/12/2025,HPS,HPS,523.0,522.0,533.0,519.0,564.0,295156.1,46.0,3866031180.0,522.0
28/11/2025,HPS,HPS,530.0,530.0,531.0,520.0,5493.0,2909737.0,31.0,3925280700.0,530.0
27/11/2025,HPS,HPS,524.0,534.5,534.5,523.0,9651.0,5114568.0,59.0,3958608555.0,534.5
26/11/2025,HPS,HPS,515.1,521.0,523.0,515.1,1071.0,556547.7,43.0,3858624990.0,521.0
25/11/2025,HPS,HPS,512.5,515.0,520.0,512.3,973.0,501047.0,16.0,3814187850.0,515.0
24/11/2025,HPS,HPS,520.0,512.0,520.0,510.1,13239.0,6787998.1,33.0,3791969280.0,512.0
21/11/2025,HPS,HPS,513.0,519.0,519.0,510.0,2764.0,1431347.0,32.0,3843812610.0,519.0
20/11/2025,HPS,HPS,515.0,513.0,515.0,508.5,35730.0,18223756.9,65.0,3799375470.0,513.0
19/11/2025,HPS,HPS,511.1,515.0,519.0,510.5,14491.0,7457262.0,55.0,3814187850.0,515.0
17/11/2025,HPS,HPS,522.0,524.9,525.0,520.0,7736.0,4057732.1,37.0,3887509131.0,524.9
14/11/2025,HPS,HPS,524.0,524.0,524.0,516.0,92.0,47932.6,22.0,3880843560.0,524.0
13/11/2025,HPS,HPS,524.9,524.9,529.0,510.0,398.0,206675.9,47.0,3887509131.0,524.9
12/11/2025,HPS,HPS,539.9,524.9,540.0,524.9,10968.0,5855448.5,43.0,3887509131.0,524.9
11/11/2025,HPS,HPS,535.1,528.0,543.0,528.0,14018.0,7557442.3,69.0,3910468320.0,528.0
10/11/2025,HPS,HPS,545.0,540.0,545.0,533.0,6286.0,3392548.0,25.0,3999342600.0,540.0
07/11/2025,HPS,HPS,529.0,545.0,546.0,529.0,15203.0,8239507.3,56.0,4036373550.0,545.0
05/11/2025,HPS,HPS,540.0,542.0,545.0,538.0,418.0,225684.1,26.0,4014154980.0,542.0
04/11/2025,HPS,HPS,545.0,545.0,553.5,530.0,836.0,450943.1,42.0,4036373550.0,545.0
03/11/2025,HPS,HPS,548.0,545.0,559.7,545.0,1000.0,555246.3,58.0,4036373550.0,545.0
31/10/2025,HPS,HPS,540.0,545.0,558.0,539.0,4104.0,2266106.4,63.0,4036373550.0,545.0
30/10/2025,HPS,HPS,532.0,535.0,537.0,525.0,5007.0,2666723.0,63.0,3962311650.0,535.0
29/10/2025,HPS,HPS,534.8,529.0,534.8,529.0,317.0,168130.2,30.0,3917874510.0,529.0
28/10/2025,HPS,HPS,522.6,533.0,534.0,522.6,1394.0,731296.4,55.0,3947499270.0,533.0
27/10/2025,HPS,HPS,532.0,534.9,535.0,530.0,5796.0,3076827.5,48.0,3961571031.0,534.9
24/10/2025,HPS,HPS,531.0,530.0,535.0,530.0,1842.0,978000.2,48.0,3925280700.0,530.0
23/10/2025,HPS,HPS,530.0,531.0,537.9,530.0,1118.0,594040.3,45.0,3932686890.0,531.0
22/10/2025,HPS,HPS,533.9,528.0,534.0,526.0,10670.0,5650591.5,49.0,3910468320.0,528.0
21/10/2025,HPS,HPS,519.2,520.1,538.9,519.2,13460.0,7011903.6,113.0,3851959419.0,520.1
20/10/2025,HPS,HPS,519.0,514.9,519.0,511.0,21766.0,11195450.0,43.0,3813447231.0,514.9
17/10/2025,HPS,HPS,517.0,510.2,517.0,508.1,1150.0,586966.7,26.0,3778638138.0,510.2
16/10/2025,HPS,HPS,507.0,509.0,510.0,507.0,9577.0,4883230.0,22.0,3769750710.0,509.0
15/10/2025,HPS,HPS,509.0,507.0,509.7,505.0,11835.0,5996443.2,71.0,3754938330.0,507.0
14/10/2025,HPS,HPS,515.0,507.0,515.0,506.1,15251.0,7768021.7,28.0,3754938330.0,507.0
13/10/2025,HPS,HPS,505.0,515.0,518.0,505.0,19786.0,10142604.4,61.0,3814187850.0,515.0
10/10/2025,HPS,HPS,500.0,510.0,510.0,500.0,22894.0,11671354.7,71.0,3777156900.0,510.0
09/10/2025,HPS,HPS,510.0,500.0,519.0,500.0,4621.0,2318178.2,88.0,3703095000.0,500.0
08/10/2025,HPS,HPS,520.0,510.0,520.0,510.0,2288.0,1170293.4,56.0,3777156900.0,510.0
07/10/2025,HPS,HPS,509.8,510.0,515.0,503.9,65251.0,33272125.8,117.0,3777156900.0,510.0
06/10/2025,HPS,HPS,499.0,490.3,514.0,490.3,20861.0,10359288.45,238.0,3631254957.0,490.3
03/10/2025,HPS,HPS,510.0,490.0,530.0,490.0,20214.0,10106823.7,299.0,3629033100.0,490.0
02/10/2025,HPS,HPS,490.0,505.0,509.5,480.0,2540.0,1257899.15,137.0,3740125950.0,505.0
01/10/2025,HPS,HPS,502.0,490.0,510.0,490.0,2792.0,1388533.9,180.0,3629033100.0,490.0
30/09/2025,HPS,HPS,507.5,500.0,520.0,498.0,43990.0,22030776.9,338.0,3703095000.0,500.0
29/09/2025,HPS,HPS,517.0,500.0,530.0,500.0,35162.0,18049183.9,231.0,3703095000.0,500.0
26/09/2025,HPS,HPS,535.0,515.0,540.0,515.0,59469.0,31012474.4,231.0,3814187850.0,515.0
25/09/2025,HPS,HPS,547.0,530.0,557.0,530.0,16309.0,8785646.0,355.0,3925280700.0,530.0
24/09/2025,HPS,HPS,508.7,508.7,508.7,508.7,83384.0,42417440.8,207.0,3767528853.0,508.7
