Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de contrats,Capitalisation,Cours ajusté
05/12/2025,ITISSALAT AL-MAGHRIB,IAM,112.5,112.0,112.9,112.0,87129.0,9773439.0,157,98458678080.0,112.0
04/12/2025,ITISSALAT AL-MAGHRIB,IAM,112.55,112.5,112.95,112.45,61458.0,6915449.95,117,98898225750.0,112.5
03/12/2025,ITISSALAT AL-MAGHRIB,IAM,112.85,112.55,113.0,112.5,369847.0,41640457.55,118,98942180517.0,112.55
02/12/2025,ITISSALAT AL-MAGHRIB,IAM,113.15,112.45,114.0,112.45,25527.0,2876836.25,110,98854270983.0,112.45
01/12/2025,ITISSALAT AL-MAGHRIB,IAM,114.9,113.9,115.4,113.9,43201.0,4937095.15,137,100128959226.0,113.9
28/11/2025,ITISSALAT AL-MAGHRIB,IAM,116.85,115.0,116.85,114.75,33504.0,3864047.15,76,101095964100.0,115.0
27/11/2025,ITISSALAT AL-MAGHRIB,IAM,114.0,117.2,117.2,114.0,79712.0,9244367.75,145,103029973848.0,117.2
26/11/2025,ITISSALAT AL-MAGHRIB,IAM,114.0,114.15,114.5,113.7,202076.0,23039121.35,106,100348733061.0,114.15
25/11/2025,ITISSALAT AL-MAGHRIB,IAM,112.7,113.8,113.8,112.3,43099.0,4878780.25,90,100041049692.0,113.8
24/11/2025,ITISSALAT AL-MAGHRIB,IAM,112.0,112.7,113.2,111.75,57888.0,6532921.2,108,99074044818.0,112.7
21/11/2025,ITISSALAT AL-MAGHRIB,IAM,111.9,112.0,112.5,111.05,306185.0,34098647.3,179,98458678080.0,112.0
20/11/2025,ITISSALAT AL-MAGHRIB,IAM,111.9,111.3,112.0,111.0,127524.0,14196784.0,145,97843311342.0,111.3
19/11/2025,ITISSALAT AL-MAGHRIB,IAM,112.95,111.0,112.95,111.0,86346.0,9610168.55,240,97579582740.0,111.0
17/11/2025,ITISSALAT AL-MAGHRIB,IAM,113.3,112.95,113.3,112.95,29014.0,3279819.85,87,99293818653.0,112.95
14/11/2025,ITISSALAT AL-MAGHRIB,IAM,112.9,112.9,113.5,112.9,213970.0,24177942.85,208,99249863886.0,112.9
13/11/2025,ITISSALAT AL-MAGHRIB,IAM,113.4,112.9,113.4,112.75,104083.0,11753797.6,197,99249863886.0,112.9
12/11/2025,ITISSALAT AL-MAGHRIB,IAM,113.1,113.0,114.0,113.0,73418.0,8314581.25,230,99337773420.0,113.0
11/11/2025,ITISSALAT AL-MAGHRIB,IAM,115.0,113.0,115.0,113.0,193149.0,21868725.9,281,99337773420.0,113.0
10/11/2025,ITISSALAT AL-MAGHRIB,IAM,116.8,115.0,116.8,114.8,87669.0,10108437.35,208,101095964100.0,115.0
07/11/2025,ITISSALAT AL-MAGHRIB,IAM,118.0,115.95,118.0,115.95,132436.0,15427130.4,324,101931104673.0,115.95
05/11/2025,ITISSALAT AL-MAGHRIB,IAM,118.4,117.6,118.4,117.6,23070.0,2716867.7,71,103381611984.0,117.6
04/11/2025,ITISSALAT AL-MAGHRIB,IAM,119.1,118.0,119.5,118.0,59406.0,7015729.5,108,103733250120.0,118.0
03/11/2025,ITISSALAT AL-MAGHRIB,IAM,120.0,119.5,121.2,119.5,181596.0,21823955.5,198,105051893130.0,119.5
31/10/2025,ITISSALAT AL-MAGHRIB,IAM,119.0,120.0,120.5,118.95,210943.0,25309604.15,146,105491440800.0,120.0
30/10/2025,ITISSALAT AL-MAGHRIB,IAM,119.6,118.9,120.0,118.7,176441.0,20984575.75,81,104524435926.0,118.9
29/10/2025,ITISSALAT AL-MAGHRIB,IAM,117.9,120.0,120.0,117.25,113799.0,13614157.55,120,105491440800.0,120.0
28/10/2025,ITISSALAT AL-MAGHRIB,IAM,118.7,117.5,118.7,117.5,170481.0,20069745.25,157,103293702450.0,117.5
27/10/2025,ITISSALAT AL-MAGHRIB,IAM,119.75,118.65,119.75,118.6,19845.0,2360586.45,63,104304662091.0,118.65
24/10/2025,ITISSALAT AL-MAGHRIB,IAM,119.1,119.4,119.5,118.5,242880.0,28942530.9,125,104963983596.0,119.4
23/10/2025,ITISSALAT AL-MAGHRIB,IAM,120.0,118.6,120.5,117.15,177234.0,20964565.7,298,104260707324.0,118.6
22/10/2025,ITISSALAT AL-MAGHRIB,IAM,121.0,121.0,121.45,120.0,216625.0,26198500.7,135,106370536140.0,121.0
21/10/2025,ITISSALAT AL-MAGHRIB,IAM,117.0,121.1,121.1,116.75,278740.0,33452382.05,165,106458445674.0,121.1
20/10/2025,ITISSALAT AL-MAGHRIB,IAM,116.05,117.0,118.0,116.05,59893.0,6997743.85,113,102854154780.0,117.0
17/10/2025,ITISSALAT AL-MAGHRIB,IAM,115.0,115.6,115.8,115.0,121344.0,14000409.2,68,101623421304.0,115.6
16/10/2025,ITISSALAT AL-MAGHRIB,IAM,112.8,115.0,115.0,112.7,193013.0,21951182.45,140,101095964100.0,115.0
15/10/2025,ITISSALAT AL-MAGHRIB,IAM,113.05,112.95,113.35,111.9,148269.0,16734093.3,187,99293818653.0,112.95
14/10/2025,ITISSALAT AL-MAGHRIB,IAM,114.9,113.0,114.9,113.0,186705.0,21160644.95,192,99337773420.0,113.0
13/10/2025,ITISSALAT AL-MAGHRIB,IAM,114.9,114.5,115.0,114.5,46324.0,5307444.95,105,100656416430.0,114.5
10/10/2025,ITISSALAT AL-MAGHRIB,IAM,116.35,114.5,116.35,114.5,133503.0,15361732.5,140,100656416430.0,114.5
09/10/2025,ITISSALAT AL-MAGHRIB,IAM,116.0,115.95,116.4,115.95,35444.0,4111031.3,92,101931104673.0,115.95
08/10/2025,ITISSALAT AL-MAGHRIB,IAM,117.5,116.0,117.5,115.85,119470.0,13893777.4,170,101975059440.0,116.0
07/10/2025,ITISSALAT AL-MAGHRIB,IAM,118.0,117.05,118.5,117.05,68656.0,8052452.65,106,102898109547.0,117.05
06/10/2025,ITISSALAT AL-MAGHRIB,IAM,116.9,117.3,118.5,116.9,66880.0,7882239.65,133,103117883382.0,117.3
03/10/2025,ITISSALAT AL-MAGHRIB,IAM,115.0,116.4,117.0,115.0,401691.0,46762655.6,213,102326697576.0,116.4
02/10/2025,ITISSALAT AL-MAGHRIB,IAM,112.4,114.1,115.45,111.6,355400.0,40544336.0,286,100304778294.0,114.1
01/10/2025,ITISSALAT AL-MAGHRIB,IAM,116.5,113.5,116.5,113.5,341818.0,38951076.75,369,99777321090.0,113.5
30/09/2025,ITISSALAT AL-MAGHRIB,IAM,116.5,117.3,119.0,114.0,141760.0,16454385.2,264,103117883382.0,117.3
29/09/2025,ITISSALAT AL-MAGHRIB,IAM,118.7,116.5,118.95,116.5,391320.0,46037765.05,221,102414607110.0,116.5
26/09/2025,ITISSALAT AL-MAGHRIB,IAM,119.05,118.5,119.45,117.55,401113.0,47478907.25,293,104172797790.0,118.5
25/09/2025,ITISSALAT AL-MAGHRIB,IAM,121.0,119.05,121.0,119.05,279782.0,33441930.1,181,104656300227.0,119.05
24/09/2025,ITISSALAT AL-MAGHRIB,IAM,122.2,121.0,122.25,119.05,214504.0,25879391.7,194,106370536140.0,121.0
23/09/2025,ITISSALAT AL-MAGHRIB,IAM,123.55,122.2,124.3,122.2,65484.0,8026063.05,73,107425450548.0,122.2
22/09/2025,ITISSALAT AL-MAGHRIB,IAM,122.6,123.9,125.0,122.6,508140.0,62855198.7,135,108919912626.0,123.9
19/09/2025,ITISSALAT AL-MAGHRIB,IAM,122.85,123.0,124.0,122.1,236619.0,29108454.75,114,108128726820.0,123.0
18/09/2025,ITISSALAT AL-MAGHRIB,IAM,122.0,122.4,122.7,120.6,161498.0,19674345.1,126,107601269616.0,122.4
17/09/2025,ITISSALAT AL-MAGHRIB,IAM,120.0,120.1,121.45,119.8,80819.0,9706013.85,151,105579350334.0,120.1
16/09/2025,ITISSALAT AL-MAGHRIB,IAM,120.5,120.0,120.5,119.8,124370.0,14932823.55,162,105491440800.0,120.0
15/09/2025,ITISSALAT AL-MAGHRIB,IAM,122.0,120.1,122.0,120.0,164829.0,19881784.0,300,105579350334.0,120.1
12/09/2025,ITISSALAT AL-MAGHRIB,IAM,123.0,122.4,123.25,122.4,499294.0,61229700.45,191,107601269616.0,122.4
11/09/2025,ITISSALAT AL-MAGHRIB,IAM,123.0,123.0,123.35,122.55,209905.0,25793308.05,139,108128726820.0,123.0
10/09/2025,ITISSALAT AL-MAGHRIB,IAM,122.5,122.5,126.0,122.5,58278.0,7164376.45,214,107689179150.0,122.5
09/09/2025,ITISSALAT AL-MAGHRIB,IAM,125.45,122.0,125.45,122.0,271394.0,33218177.85,237,107249631480.0,122.0
08/09/2025,ITISSALAT AL-MAGHRIB,IAM,127.4,125.0,127.4,125.0,296300.0,37375612.05,178,109886917500.0,125.0
04/09/2025,ITISSALAT AL-MAGHRIB,IAM,127.9,126.5,127.9,126.5,83241.0,10562597.75,124,111205560510.0,126.5
03/09/2025,ITISSALAT AL-MAGHRIB,IAM,127.0,126.5,130.0,124.5,188838.0,24105581.7,340,111205560510.0,126.5
02/09/2025,ITISSALAT AL-MAGHRIB,IAM,123.65,126.9,126.9,123.65,185332.0,23310737.65,266,111557198646.0,126.9
01/09/2025,ITISSALAT AL-MAGHRIB,IAM,124.0,123.6,124.5,123.0,51327.0,6344640.0,132,108656184024.0,123.6
29/08/2025,ITISSALAT AL-MAGHRIB,IAM,124.1,123.9,124.8,123.8,264690.0,32828856.25,156,108919912626.0,123.9
28/08/2025,ITISSALAT AL-MAGHRIB,IAM,125.0,123.75,125.0,123.75,105332.0,13082301.4,143,108788048325.0,123.75
27/08/2025,ITISSALAT AL-MAGHRIB,IAM,123.0,123.9,123.9,122.9,324645.0,40060155.05,187,108919912626.0,123.9
26/08/2025,ITISSALAT AL-MAGHRIB,IAM,121.6,122.5,123.0,121.6,382969.0,46871968.9,171,107689179150.0,122.5
25/08/2025,ITISSALAT AL-MAGHRIB,IAM,120.95,121.5,121.6,120.5,122312.0,14840704.75,119,106810083810.0,121.5
22/08/2025,ITISSALAT AL-MAGHRIB,IAM,119.55,120.5,120.7,119.55,160362.0,19314359.35,113,105930988470.0,120.5
19/08/2025,ITISSALAT AL-MAGHRIB,IAM,120.0,119.5,120.0,119.5,123777.0,14799789.25,138,105051893130.0,119.5
18/08/2025,ITISSALAT AL-MAGHRIB,IAM,121.0,120.0,121.0,119.95,51618.0,6208389.8,109,105491440800.0,120.0
15/08/2025,ITISSALAT AL-MAGHRIB,IAM,121.0,120.0,121.0,120.0,82460.0,9925678.75,195,105491440800.0,120.0
13/08/2025,ITISSALAT AL-MAGHRIB,IAM,122.4,120.0,122.4,120.0,113275.0,13705132.25,222,105491440800.0,120.0
12/08/2025,ITISSALAT AL-MAGHRIB,IAM,121.95,122.0,122.3,121.6,51848.0,6323393.95,139,107249631480.0,122.0
11/08/2025,ITISSALAT AL-MAGHRIB,IAM,123.5,121.95,123.5,121.95,101029.0,12354262.0,161,107205676713.0,121.95
08/08/2025,ITISSALAT AL-MAGHRIB,IAM,123.0,123.0,124.0,122.1,154436.0,19012389.5,214,108128726820.0,123.0
07/08/2025,ITISSALAT AL-MAGHRIB,IAM,122.5,123.15,123.5,122.5,395120.0,48596023.6,210,108260591121.0,123.15
06/08/2025,ITISSALAT AL-MAGHRIB,IAM,122.7,122.4,122.85,122.0,91468.0,11194722.95,95,107601269616.0,122.4
05/08/2025,ITISSALAT AL-MAGHRIB,IAM,122.7,122.0,122.75,122.0,80767.0,9886815.05,123,107249631480.0,122.0
04/08/2025,ITISSALAT AL-MAGHRIB,IAM,122.6,122.5,122.6,118.4,327163.0,40018122.05,189,107689179150.0,122.5
01/08/2025,ITISSALAT AL-MAGHRIB,IAM,122.0,122.5,122.65,122.0,275568.0,33750838.3,110,107689179150.0,122.5
31/07/2025,ITISSALAT AL-MAGHRIB,IAM,122.9,122.5,122.9,121.75,306890.0,37521007.4,183,107689179150.0,122.5
29/07/2025,ITISSALAT AL-MAGHRIB,IAM,122.5,122.1,122.95,121.8,311421.0,38014763.9,196,107337541014.0,122.1
28/07/2025,ITISSALAT AL-MAGHRIB,IAM,123.35,121.7,123.95,121.5,286374.0,35061050.6,238,106985902878.0,121.7
25/07/2025,ITISSALAT AL-MAGHRIB,IAM,123.5,123.0,123.95,121.5,226850.0,27967213.85,201,108128726820.0,123.0
24/07/2025,ITISSALAT AL-MAGHRIB,IAM,118.7,123.0,123.0,118.7,989676.0,120079931.15,312,108128726820.0,123.0
23/07/2025,ITISSALAT AL-MAGHRIB,IAM,121.0,118.85,121.8,118.65,79730.0,9487992.9,129,104480481159.0,118.85
22/07/2025,ITISSALAT AL-MAGHRIB,IAM,120.1,121.85,121.85,118.55,117002.0,14133697.85,178,107117767179.0,121.85
21/07/2025,ITISSALAT AL-MAGHRIB,IAM,122.0,120.0,123.4,120.0,180649.0,21901360.3,268,105491440800.0,120.0
18/07/2025,ITISSALAT AL-MAGHRIB,IAM,120.0,121.0,122.0,118.35,516818.0,62303632.1,370,106370536140.0,121.0
17/07/2025,ITISSALAT AL-MAGHRIB,IAM,116.7,118.0,118.0,116.0,241728.0,28374009.4,173,103733250120.0,118.0
16/07/2025,ITISSALAT AL-MAGHRIB,IAM,117.0,116.3,117.5,116.3,58504.0,6826202.35,86,102238788042.0,116.3
15/07/2025,ITISSALAT AL-MAGHRIB,IAM,117.05,117.45,117.75,117.0,51799.0,6085867.15,81,103249747683.0,117.45
14/07/2025,ITISSALAT AL-MAGHRIB,IAM,117.6,118.0,118.0,117.15,49025.0,5768620.55,109,103733250120.0,118.0
11/07/2025,ITISSALAT AL-MAGHRIB,IAM,117.15,118.0,118.4,117.0,361136.0,42558433.8,182,103733250120.0,118.0
10/07/2025,ITISSALAT AL-MAGHRIB,IAM,117.6,117.5,118.0,115.7,86516.0,10146040.85,122,103293702450.0,117.5
09/07/2025,ITISSALAT AL-MAGHRIB,IAM,118.05,118.0,118.4,116.8,36904.0,4340419.2,157,103733250120.0,118.0
08/07/2025,ITISSALAT AL-MAGHRIB,IAM,119.0,118.5,120.0,118.5,78477.0,9312760.3,121,104172797790.0,118.5
07/07/2025,ITISSALAT AL-MAGHRIB,IAM,114.6,118.5,123.25,114.0,707347.0,84211729.3,485,104172797790.0,118.5
04/07/2025,ITISSALAT AL-MAGHRIB,IAM,113.65,115.0,115.4,113.6,162266.0,18634884.5,170,101095964100.0,115.0
