Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de contrats,Capitalisation,Cours ajusté
05/12/2025,LABEL VIE,LBV,4700.0,4700.0,4700.0,4700.0,700.0,3290000.0,12.0,13601597900.0,4700.0
04/12/2025,LABEL VIE,LBV,4579.0,4579.0,4579.0,4579.0,51.0,233529.0,4.0,13251429103.0,4579.0
03/12/2025,LABEL VIE,LBV,4645.0,4579.0,4650.0,4579.0,590.0,2708700.0,5.0,13251429103.0,4579.0
02/12/2025,LABEL VIE,LBV,4645.0,4650.0,4650.0,4645.0,42.0,195280.0,6.0,13456900050.0,4650.0
01/12/2025,LABEL VIE,LBV,4305.0,4645.0,4645.0,4305.0,136.0,605330.0,22.0,13442430265.0,4645.0
28/11/2025,LABEL VIE,LBV,4500.0,4490.0,4500.0,4486.0,254.0,1140458.0,5.0,12993866930.0,4490.0
27/11/2025,LABEL VIE,LBV,4480.0,4500.0,4589.0,4480.0,5272.0,23683099.0,13.0,13022806500.0,4500.0
26/11/2025,LABEL VIE,LBV,4400.0,4598.0,4598.0,4400.0,660.0,2935680.0,9.0,13306414286.0,4598.0
25/11/2025,LABEL VIE,LBV,4400.0,4400.0,4479.0,4300.0,1199.0,5237098.0,24.0,12733410800.0,4400.0
24/11/2025,LABEL VIE,LBV,4452.0,4326.0,4480.0,4326.0,1820.0,7915215.0,15.0,12519257982.0,4326.0
21/11/2025,LABEL VIE,LBV,4530.0,4500.0,4530.0,4500.0,1519.0,6835530.0,7.0,13022806500.0,4500.0
20/11/2025,LABEL VIE,LBV,4531.0,4530.0,4532.0,4530.0,25.0,113287.0,6.0,13109625210.0,4530.0
19/11/2025,LABEL VIE,LBV,4630.0,4560.0,4630.0,4525.0,59.0,268077.0,12.0,13196443920.0,4560.0
17/11/2025,LABEL VIE,LBV,4599.0,4563.0,4600.0,4563.0,1253.0,5748668.0,15.0,13205125791.0,4563.0
14/11/2025,LABEL VIE,LBV,4623.0,4599.0,4623.0,4599.0,4561.0,20981704.0,11.0,13309308243.0,4599.0
13/11/2025,LABEL VIE,LBV,4562.0,4623.0,4623.0,4562.0,81.0,374280.0,4.0,13378763211.0,4623.0
