Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de contrats,Capitalisation,Cours ajusté
05/12/2025,LAFARGEHOLCIM MAROC,LHM,1826.0,1831.0,1839.0,1812.0,44568.0,81603457.0,21.0,42902600440.0,1831.0
04/12/2025,LAFARGEHOLCIM MAROC,LHM,1840.0,1830.0,1840.0,1825.0,508.0,929873.0,24.0,42879169200.0,1830.0
03/12/2025,LAFARGEHOLCIM MAROC,LHM,1826.0,1825.0,1840.0,1825.0,22285.0,40708396.0,47.0,42762013000.0,1825.0
02/12/2025,LAFARGEHOLCIM MAROC,LHM,1824.0,1830.0,1859.0,1824.0,1121.0,2071310.0,20.0,42879169200.0,1830.0
01/12/2025,LAFARGEHOLCIM MAROC,LHM,1870.0,1848.0,1876.0,1840.0,184.0,341469.0,25.0,43300931520.0,1848.0
28/11/2025,LAFARGEHOLCIM MAROC,LHM,1879.0,1850.0,1879.0,1850.0,1552.0,2876230.0,25.0,43347794000.0,1850.0
27/11/2025,LAFARGEHOLCIM MAROC,LHM,1850.0,1851.0,1888.0,1850.0,4040.0,7497357.0,41.0,43371225240.0,1851.0
26/11/2025,LAFARGEHOLCIM MAROC,LHM,1850.0,1880.0,1885.0,1850.0,2920.0,5464440.0,17.0,44050731200.0,1880.0
25/11/2025,LAFARGEHOLCIM MAROC,LHM,1889.0,1855.0,1890.0,1835.0,2074.0,3849145.0,16.0,43464950200.0,1855.0
24/11/2025,LAFARGEHOLCIM MAROC,LHM,1867.0,1888.0,1888.0,1817.0,3597.0,6727204.0,43.0,44238181120.0,1888.0
21/11/2025,LAFARGEHOLCIM MAROC,LHM,1866.0,1815.0,1866.0,1802.0,10418.0,18791136.0,43.0,42527700600.0,1815.0
20/11/2025,LAFARGEHOLCIM MAROC,LHM,1840.0,1802.0,1859.0,1802.0,1123.0,2024751.0,41.0,42223094480.0,1802.0
19/11/2025,LAFARGEHOLCIM MAROC,LHM,1840.0,1860.0,1870.0,1840.0,284.0,526387.0,37.0,43582106400.0,1860.0
17/11/2025,LAFARGEHOLCIM MAROC,LHM,1898.0,1859.0,1898.0,1840.0,1138.0,2099216.0,22.0,43558675160.0,1859.0
14/11/2025,LAFARGEHOLCIM MAROC,LHM,1897.0,1830.0,1897.0,1830.0,11212.0,21061638.0,59.0,42879169200.0,1830.0
13/11/2025,LAFARGEHOLCIM MAROC,LHM,1902.0,1899.0,1902.0,1899.0,254.0,482601.0,5.0,44495924760.0,1899.0
12/11/2025,LAFARGEHOLCIM MAROC,LHM,1876.0,1898.0,1902.0,1875.0,43.0,81473.0,16.0,44472493520.0,1898.0
11/11/2025,LAFARGEHOLCIM MAROC,LHM,1939.0,1870.0,1939.0,1870.0,1762.0,3307647.0,52.0,43816418800.0,1870.0
10/11/2025,LAFARGEHOLCIM MAROC,LHM,1954.0,1939.0,1954.0,1932.0,494.0,957710.0,10.0,45433174360.0,1939.0
07/11/2025,LAFARGEHOLCIM MAROC,LHM,1959.0,1933.0,1959.0,1933.0,2855.0,5520754.0,22.0,45292586920.0,1933.0
05/11/2025,LAFARGEHOLCIM MAROC,LHM,1969.0,1964.0,1969.0,1932.0,64.0,124565.0,8.0,46018955360.0,1964.0
04/11/2025,LAFARGEHOLCIM MAROC,LHM,1985.0,1969.0,1985.0,1945.0,364.0,715785.0,28.0,46136111560.0,1969.0
03/11/2025,LAFARGEHOLCIM MAROC,LHM,1993.0,1980.0,2000.0,1966.0,4218.0,8397917.0,68.0,46393855200.0,1980.0
31/10/2025,LAFARGEHOLCIM MAROC,LHM,1902.0,1948.0,1969.0,1902.0,21648.0,41977217.0,91.0,45644055520.0,1948.0
30/10/2025,LAFARGEHOLCIM MAROC,LHM,1919.0,1902.0,1919.0,1899.0,5135.0,9766863.0,35.0,44566218480.0,1902.0
29/10/2025,LAFARGEHOLCIM MAROC,LHM,1897.0,1897.0,1914.0,1893.0,7972.0,15134028.0,27.0,44449062280.0,1897.0
28/10/2025,LAFARGEHOLCIM MAROC,LHM,1908.0,1898.0,1913.0,1890.0,6801.0,12909955.0,47.0,44472493520.0,1898.0
27/10/2025,LAFARGEHOLCIM MAROC,LHM,1909.0,1908.0,1910.0,1890.0,340.0,648847.0,12.0,44706805920.0,1908.0
24/10/2025,LAFARGEHOLCIM MAROC,LHM,1899.0,1900.0,1900.0,1870.0,8235.0,15646169.0,35.0,44519356000.0,1900.0
