Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de contrats,Capitalisation,Cours ajusté
05/12/2025,LESIEUR CRISTAL,LES,0.0,294.9,0.0,0.0,0.0,0.0,0.0,8148532299.0,294.9
04/12/2025,LESIEUR CRISTAL,LES,0.0,294.9,0.0,0.0,0.0,0.0,0.0,8148532299.0,294.9
03/12/2025,LESIEUR CRISTAL,LES,0.0,294.9,0.0,0.0,0.0,0.0,0.0,8148532299.0,294.9
02/12/2025,LESIEUR CRISTAL,LES,294.9,294.9,294.9,294.9,2.0,589.8,1.0,8148532299.0,294.9
01/12/2025,LESIEUR CRISTAL,LES,281.5,281.5,281.5,281.5,21.0,5911.5,3.0,7778270065.0,281.5
28/11/2025,LESIEUR CRISTAL,LES,0.0,290.0,0.0,0.0,0.0,0.0,0.0,8013137900.0,290.0
27/11/2025,LESIEUR CRISTAL,LES,290.5,290.0,290.5,290.0,300.0,87001.0,4.0,8013137900.0,290.0
26/11/2025,LESIEUR CRISTAL,LES,290.0,294.0,294.0,290.0,35004.0,10151176.0,10.0,8123663940.0,294.0
25/11/2025,LESIEUR CRISTAL,LES,290.05,290.0,290.05,290.0,54.0,15660.1,4.0,8013137900.0,290.0
24/11/2025,LESIEUR CRISTAL,LES,297.65,296.6,297.65,296.6,4.0,1188.5,2.0,8195505866.0,296.6
21/11/2025,LESIEUR CRISTAL,LES,290.05,290.0,290.05,290.0,13.0,3770.3,2.0,8013137900.0,290.0
20/11/2025,LESIEUR CRISTAL,LES,290.0,290.0,290.0,290.0,10.0,2900.0,1.0,8013137900.0,290.0
19/11/2025,LESIEUR CRISTAL,LES,290.0,290.0,290.1,290.0,62.0,17981.0,6.0,8013137900.0,290.0
17/11/2025,LESIEUR CRISTAL,LES,309.0,290.0,309.0,290.0,722.0,212722.95,17.0,8013137900.0,290.0
14/11/2025,LESIEUR CRISTAL,LES,290.05,296.0,298.95,290.0,240.0,69695.75,7.0,8178926960.0,296.0
13/11/2025,LESIEUR CRISTAL,LES,290.0,290.0,290.0,290.0,958.0,277820.0,3.0,8013137900.0,290.0
12/11/2025,LESIEUR CRISTAL,LES,290.0,290.0,290.0,290.0,500.0,145000.0,3.0,8013137900.0,290.0
11/11/2025,LESIEUR CRISTAL,LES,290.0,290.0,290.0,290.0,120.0,34800.0,5.0,8013137900.0,290.0
10/11/2025,LESIEUR CRISTAL,LES,299.3,290.0,299.3,290.0,651.0,188799.3,3.0,8013137900.0,290.0
07/11/2025,LESIEUR CRISTAL,LES,290.0,295.0,295.0,290.0,230.0,67700.0,2.0,8151295450.0,295.0
05/11/2025,LESIEUR CRISTAL,LES,290.1,295.0,295.0,290.0,1366.0,396456.5,11.0,8151295450.0,295.0
04/11/2025,LESIEUR CRISTAL,LES,291.05,295.0,295.0,290.05,140.0,40965.9,8.0,8151295450.0,295.0
03/11/2025,LESIEUR CRISTAL,LES,291.0,300.0,300.0,291.0,261.0,76851.6,13.0,8289453000.0,300.0
31/10/2025,LESIEUR CRISTAL,LES,299.0,299.0,299.0,290.1,153.0,45560.95,10.0,8261821490.0,299.0
30/10/2025,LESIEUR CRISTAL,LES,298.9,298.0,298.9,290.0,2135.0,619912.8,12.0,8234189980.0,298.0
29/10/2025,LESIEUR CRISTAL,LES,298.0,298.9,299.0,290.1,135.0,39959.0,12.0,8259058339.0,298.9
28/10/2025,LESIEUR CRISTAL,LES,0.0,299.9,0.0,0.0,0.0,0.0,0.0,8286689849.0,299.9
27/10/2025,LESIEUR CRISTAL,LES,299.9,299.9,299.9,299.9,1.0,299.9,1.0,8286689849.0,299.9
24/10/2025,LESIEUR CRISTAL,LES,291.0,299.95,299.95,291.0,105.0,31450.0,6.0,8288071424.5,299.95
23/10/2025,LESIEUR CRISTAL,LES,0.0,299.0,0.0,0.0,0.0,0.0,0.0,8261821490.0,299.0
22/10/2025,LESIEUR CRISTAL,LES,299.0,299.0,299.0,299.0,1.0,299.0,1.0,8261821490.0,299.0
21/10/2025,LESIEUR CRISTAL,LES,299.95,299.95,299.95,299.95,40.0,11998.0,1.0,8288071424.5,299.95
20/10/2025,LESIEUR CRISTAL,LES,0.0,299.95,0.0,0.0,0.0,0.0,0.0,8288071424.5,299.95
17/10/2025,LESIEUR CRISTAL,LES,0.0,299.95,0.0,0.0,0.0,0.0,0.0,8288071424.5,299.95
16/10/2025,LESIEUR CRISTAL,LES,288.0,299.95,299.95,288.0,128.0,38113.0,8.0,8288071424.5,299.95
15/10/2025,LESIEUR CRISTAL,LES,286.05,299.85,299.95,286.05,72.0,21289.5,8.0,8285308273.5,299.85
14/10/2025,LESIEUR CRISTAL,LES,285.05,300.0,300.0,285.05,145.0,43126.25,9.0,8289453000.0,300.0
13/10/2025,LESIEUR CRISTAL,LES,299.95,299.95,299.95,299.95,40.0,11998.0,4.0,8288071424.5,299.95
10/10/2025,LESIEUR CRISTAL,LES,300.0,300.0,300.0,300.0,150.0,45000.0,4.0,8289453000.0,300.0
09/10/2025,LESIEUR CRISTAL,LES,290.0,290.0,290.05,290.0,596.0,172841.25,9.0,8013137900.0,290.0
08/10/2025,LESIEUR CRISTAL,LES,300.0,300.0,300.0,300.0,500.0,150000.0,2.0,8289453000.0,300.0
07/10/2025,LESIEUR CRISTAL,LES,305.0,305.0,305.0,305.0,500.0,152500.0,2.0,8427610550.0,305.0
06/10/2025,LESIEUR CRISTAL,LES,318.7,308.9,318.7,291.1,455.0,133474.15,13.0,8535373439.0,308.9
03/10/2025,LESIEUR CRISTAL,LES,300.0,294.3,319.8,292.4,707.0,212298.7,16.0,8131953393.0,294.3
02/10/2025,LESIEUR CRISTAL,LES,308.5,300.0,308.5,291.15,1024.0,306772.7,20.0,8289453000.0,300.0
01/10/2025,LESIEUR CRISTAL,LES,303.05,318.95,318.95,303.05,382.0,118945.1,10.0,8813070114.5,318.95
30/09/2025,LESIEUR CRISTAL,LES,303.0,330.0,330.0,292.55,4909.0,1610366.15,38.0,9118398300.0,330.0
29/09/2025,LESIEUR CRISTAL,LES,293.0,325.0,325.0,293.0,896.0,285393.4,46.0,8980240750.0,325.0
26/09/2025,LESIEUR CRISTAL,LES,299.0,325.0,325.0,291.0,6102.0,1979790.0,31.0,8980240750.0,325.0
25/09/2025,LESIEUR CRISTAL,LES,300.0,300.0,300.0,300.0,2138.0,641400.0,24.0,8289453000.0,300.0
24/09/2025,LESIEUR CRISTAL,LES,285.0,285.0,285.0,285.0,1000.0,285000.0,7.0,7874980350.0,285.0
23/09/2025,LESIEUR CRISTAL,LES,0.0,285.0,0.0,0.0,0.0,0.0,0.0,7874980350.0,285.0
22/09/2025,LESIEUR CRISTAL,LES,0.0,285.0,0.0,0.0,0.0,0.0,0.0,7874980350.0,285.0
19/09/2025,LESIEUR CRISTAL,LES,272.0,285.0,285.0,272.0,2104.0,598337.0,16.0,7874980350.0,285.0
18/09/2025,LESIEUR CRISTAL,LES,289.5,281.8,289.5,272.0,246.0,68217.5,9.0,7786559518.0,281.8
17/09/2025,LESIEUR CRISTAL,LES,284.0,283.0,284.0,283.0,66.0,18730.0,9.0,7819717330.0,283.0
16/09/2025,LESIEUR CRISTAL,LES,272.0,280.0,280.0,272.0,45.0,12518.5,5.0,7736822800.0,280.0
15/09/2025,LESIEUR CRISTAL,LES,282.9,270.0,282.9,270.0,1052.0,284616.7,15.0,7460507700.0,270.0
12/09/2025,LESIEUR CRISTAL,LES,275.0,275.0,275.0,275.0,216.0,59400.0,5.0,7598665250.0,275.0
11/09/2025,LESIEUR CRISTAL,LES,275.0,275.0,275.0,275.0,99.0,27225.0,7.0,7598665250.0,275.0
10/09/2025,LESIEUR CRISTAL,LES,0.0,280.0,0.0,0.0,0.0,0.0,0.0,7736822800.0,280.0
09/09/2025,LESIEUR CRISTAL,LES,281.0,280.0,281.0,273.0,774.0,216341.0,18.0,7736822800.0,280.0
08/09/2025,LESIEUR CRISTAL,LES,287.0,282.0,287.0,281.0,2170.0,611800.0,8.0,7792085820.0,282.0
04/09/2025,LESIEUR CRISTAL,LES,282.0,280.5,282.0,280.5,431.0,121057.75,9.0,7750638555.0,280.5
03/09/2025,LESIEUR CRISTAL,LES,0.0,281.9,0.0,0.0,0.0,0.0,0.0,7789322669.0,281.9
02/09/2025,LESIEUR CRISTAL,LES,282.0,281.9,282.0,281.0,828.0,233321.7,22.0,7789322669.0,281.9
01/09/2025,LESIEUR CRISTAL,LES,300.0,282.05,300.0,282.05,142.0,42221.0,8.0,7793467395.5,282.05
29/08/2025,LESIEUR CRISTAL,LES,283.0,300.0,300.0,283.0,2445.0,701225.0,15.0,8289453000.0,300.0
28/08/2025,LESIEUR CRISTAL,LES,285.0,285.0,286.0,285.0,2168.0,617919.0,12.0,7874980350.0,285.0
27/08/2025,LESIEUR CRISTAL,LES,282.0,282.0,282.0,282.0,60.0,16920.0,2.0,7792085820.0,282.0
26/08/2025,LESIEUR CRISTAL,LES,0.0,281.1,0.0,0.0,0.0,0.0,0.0,7767217461.0,281.1
25/08/2025,LESIEUR CRISTAL,LES,0.0,281.1,0.0,0.0,0.0,0.0,0.0,7767217461.0,281.1
22/08/2025,LESIEUR CRISTAL,LES,281.1,281.1,281.1,281.1,2.0,562.2,1.0,7767217461.0,281.1
19/08/2025,LESIEUR CRISTAL,LES,285.0,282.0,285.0,282.0,20.0,5682.05,6.0,7792085820.0,282.0
18/08/2025,LESIEUR CRISTAL,LES,285.0,285.0,285.0,285.0,197.0,56145.0,6.0,7874980350.0,285.0
15/08/2025,LESIEUR CRISTAL,LES,281.0,300.0,300.0,281.0,2150.0,642350.0,20.0,8289453000.0,300.0
13/08/2025,LESIEUR CRISTAL,LES,285.0,280.0,285.0,279.9,2555.0,715424.1,13.0,7736822800.0,280.0
12/08/2025,LESIEUR CRISTAL,LES,283.95,285.0,285.0,283.95,63.0,17891.55,4.0,7874980350.0,285.0
11/08/2025,LESIEUR CRISTAL,LES,284.0,284.0,284.0,280.0,14.0,3966.0,6.0,7847348840.0,284.0
08/08/2025,LESIEUR CRISTAL,LES,280.0,280.0,280.0,280.0,100.0,28000.0,3.0,7736822800.0,280.0
07/08/2025,LESIEUR CRISTAL,LES,0.0,285.0,0.0,0.0,0.0,0.0,0.0,7874980350.0,285.0
06/08/2025,LESIEUR CRISTAL,LES,0.0,285.0,0.0,0.0,0.0,0.0,0.0,7874980350.0,285.0
05/08/2025,LESIEUR CRISTAL,LES,0.0,285.0,0.0,0.0,0.0,0.0,0.0,7874980350.0,285.0
04/08/2025,LESIEUR CRISTAL,LES,285.0,285.0,285.0,285.0,2.0,570.0,1.0,7874980350.0,285.0
01/08/2025,LESIEUR CRISTAL,LES,284.0,279.0,290.0,279.0,74.0,20991.0,5.0,7709191290.0,279.0
31/07/2025,LESIEUR CRISTAL,LES,280.05,283.95,283.95,280.0,41.0,11492.65,9.0,7845967264.5,283.95
29/07/2025,LESIEUR CRISTAL,LES,281.0,281.0,281.0,281.0,10.0,2810.0,1.0,7764454310.0,281.0
28/07/2025,LESIEUR CRISTAL,LES,279.0,280.0,280.0,279.0,159.0,44402.0,7.0,7736822800.0,280.0
25/07/2025,LESIEUR CRISTAL,LES,283.0,285.0,285.0,279.05,410.0,116399.2,15.0,7874980350.0,285.0
24/07/2025,LESIEUR CRISTAL,LES,283.85,279.05,283.9,279.05,36.0,10214.55,3.0,7710572865.5,279.05
23/07/2025,LESIEUR CRISTAL,LES,0.0,278.0,0.0,0.0,0.0,0.0,0.0,7681559780.0,278.0
22/07/2025,LESIEUR CRISTAL,LES,278.0,278.0,278.0,278.0,6.0,1668.0,1.0,7681559780.0,278.0
21/07/2025,LESIEUR CRISTAL,LES,285.0,277.55,285.0,277.55,50.0,14101.0,5.0,7669125600.5,277.55
18/07/2025,LESIEUR CRISTAL,LES,277.25,283.9,283.9,277.25,260.0,73415.0,6.0,7844585689.0,283.9
17/07/2025,LESIEUR CRISTAL,LES,0.0,277.25,0.0,0.0,0.0,0.0,0.0,7660836147.5,277.25
16/07/2025,LESIEUR CRISTAL,LES,277.25,277.25,277.25,277.25,5.0,1386.25,2.0,7660836147.5,277.25
15/07/2025,LESIEUR CRISTAL,LES,277.25,277.25,277.25,277.25,213.0,59054.25,2.0,7660836147.5,277.25
14/07/2025,LESIEUR CRISTAL,LES,277.25,277.25,278.0,277.25,384.0,106466.25,4.0,7660836147.5,277.25
11/07/2025,LESIEUR CRISTAL,LES,277.25,277.5,277.5,277.25,100.0,27730.0,3.0,7667744025.0,277.5
10/07/2025,LESIEUR CRISTAL,LES,284.85,284.95,284.95,284.85,40.0,11394.3,2.0,7873598774.5,284.95
09/07/2025,LESIEUR CRISTAL,LES,284.9,277.25,284.9,277.25,31.0,8602.4,5.0,7660836147.5,277.25
08/07/2025,LESIEUR CRISTAL,LES,282.0,285.0,285.0,282.0,80.0,22755.0,2.0,7874980350.0,285.0
07/07/2025,LESIEUR CRISTAL,LES,0.0,277.25,0.0,0.0,0.0,0.0,0.0,7660836147.5,277.25
04/07/2025,LESIEUR CRISTAL,LES,277.25,277.25,277.25,277.25,100.0,27725.0,4.0,7660836147.5,277.25
03/07/2025,LESIEUR CRISTAL,LES,283.0,277.25,284.95,277.0,746.0,207380.5,22.0,7660836147.5,277.25
02/07/2025,LESIEUR CRISTAL,LES,285.0,285.0,285.0,280.0,309.0,86953.7,17.0,7874980350.0,285.0
01/07/2025,LESIEUR CRISTAL,LES,280.0,298.95,298.95,280.0,1055.0,300418.95,12.0,8260439914.5,298.95
30/06/2025,LESIEUR CRISTAL,LES,300.0,300.0,300.0,300.0,1514.0,454200.0,9.0,8289453000.0,300.0
26/06/2025,LESIEUR CRISTAL,LES,280.0,280.0,280.15,280.0,452.0,126564.55,6.0,7736822800.0,280.0
25/06/2025,LESIEUR CRISTAL,LES,280.0,280.0,280.0,280.0,46.0,12880.0,3.0,7736822800.0,280.0
24/06/2025,LESIEUR CRISTAL,LES,281.0,280.0,281.0,280.0,2601.0,728283.0,5.0,7736822800.0,280.0
23/06/2025,LESIEUR CRISTAL,LES,0.0,273.5,0.0,0.0,0.0,0.0,0.0,7557217985.0,273.5
20/06/2025,LESIEUR CRISTAL,LES,0.0,273.5,0.0,0.0,0.0,0.0,0.0,7557217985.0,273.5
19/06/2025,LESIEUR CRISTAL,LES,273.5,273.5,273.5,273.5,2.0,547.0,1.0,7557217985.0,273.5
18/06/2025,LESIEUR CRISTAL,LES,284.9,273.5,284.9,273.5,30.0,8319.0,3.0,7557217985.0,273.5
17/06/2025,LESIEUR CRISTAL,LES,272.15,273.0,275.05,272.15,919.0,250368.2,12.0,7543402230.0,273.0
16/06/2025,LESIEUR CRISTAL,LES,0.0,279.0,0.0,0.0,0.0,0.0,0.0,7709191290.0,279.0
13/06/2025,LESIEUR CRISTAL,LES,0.0,279.0,0.0,0.0,0.0,0.0,0.0,7709191290.0,279.0
12/06/2025,LESIEUR CRISTAL,LES,280.0,279.0,280.0,279.0,2516.0,701975.0,4.0,7709191290.0,279.0
11/06/2025,LESIEUR CRISTAL,LES,279.1,279.1,279.1,279.1,2.0,558.2,1.0,7711954441.0,279.1
10/06/2025,LESIEUR CRISTAL,LES,0.0,279.0,0.0,0.0,0.0,0.0,0.0,7709191290.0,279.0
06/06/2025,LESIEUR CRISTAL,LES,0.0,279.0,0.0,0.0,0.0,0.0,0.0,7709191290.0,279.0
05/06/2025,LESIEUR CRISTAL,LES,296.95,279.0,296.95,279.0,41.0,11456.95,4.0,7709191290.0,279.0
04/06/2025,LESIEUR CRISTAL,LES,0.0,279.0,0.0,0.0,0.0,0.0,0.0,7709191290.0,279.0
03/06/2025,LESIEUR CRISTAL,LES,279.0,279.0,279.0,279.0,110.0,30690.0,4.0,7709191290.0,279.0
02/06/2025,LESIEUR CRISTAL,LES,0.0,280.0,0.0,0.0,0.0,0.0,0.0,7736822800.0,280.0
30/05/2025,LESIEUR CRISTAL,LES,280.0,280.0,280.0,280.0,40.0,11200.0,4.0,7736822800.0,280.0
29/05/2025,LESIEUR CRISTAL,LES,0.0,280.0,0.0,0.0,0.0,0.0,0.0,7736822800.0,280.0
28/05/2025,LESIEUR CRISTAL,LES,284.95,280.0,284.95,280.0,26.0,7284.95,2.0,7736822800.0,280.0
27/05/2025,LESIEUR CRISTAL,LES,285.0,280.05,285.0,280.0,591.0,165520.3,5.0,7738204375.5,280.05
26/05/2025,LESIEUR CRISTAL,LES,285.0,285.0,285.0,285.0,6.0,1710.0,2.0,7874980350.0,285.0
23/05/2025,LESIEUR CRISTAL,LES,283.0,280.0,283.0,280.0,110.0,30895.0,5.0,7736822800.0,280.0
22/05/2025,LESIEUR CRISTAL,LES,285.0,285.0,285.0,285.0,4.0,1140.0,2.0,7874980350.0,285.0
21/05/2025,LESIEUR CRISTAL,LES,282.0,282.0,282.0,282.0,100.0,28200.0,1.0,7792085820.0,282.0
20/05/2025,LESIEUR CRISTAL,LES,285.0,285.0,285.0,285.0,130.0,37050.0,2.0,7874980350.0,285.0
19/05/2025,LESIEUR CRISTAL,LES,0.0,282.0,0.0,0.0,0.0,0.0,0.0,7792085820.0,282.0
16/05/2025,LESIEUR CRISTAL,LES,280.0,282.0,282.0,280.0,30.0,8440.0,2.0,7792085820.0,282.0
15/05/2025,LESIEUR CRISTAL,LES,280.0,280.0,280.0,280.0,109.0,30520.0,1.0,7736822800.0,280.0
14/05/2025,LESIEUR CRISTAL,LES,280.5,280.0,280.5,280.0,25.0,7003.0,2.0,7736822800.0,280.0
13/05/2025,LESIEUR CRISTAL,LES,280.0,280.0,280.0,280.0,638.0,178640.0,3.0,7736822800.0,280.0
12/05/2025,LESIEUR CRISTAL,LES,284.95,280.0,284.95,280.0,26.0,7285.35,3.0,7736822800.0,280.0
09/05/2025,LESIEUR CRISTAL,LES,281.0,281.0,281.0,281.0,15.0,4215.0,3.0,7764454310.0,281.0
08/05/2025,LESIEUR CRISTAL,LES,0.0,281.15,0.0,0.0,0.0,0.0,0.0,7768599036.5,281.15
07/05/2025,LESIEUR CRISTAL,LES,280.0,281.15,288.0,280.0,103.0,29171.9,6.0,7768599036.5,281.15
06/05/2025,LESIEUR CRISTAL,LES,280.0,288.0,288.0,280.0,221.0,62514.0,10.0,7957874880.0,288.0
05/05/2025,LESIEUR CRISTAL,LES,284.0,280.0,284.0,280.0,13.0,3648.0,2.0,7736822800.0,280.0
02/05/2025,LESIEUR CRISTAL,LES,0.0,284.9,0.0,0.0,0.0,0.0,0.0,7872217199.0,284.9
30/04/2025,LESIEUR CRISTAL,LES,0.0,284.9,0.0,0.0,0.0,0.0,0.0,7872217199.0,284.9
29/04/2025,LESIEUR CRISTAL,LES,280.05,284.9,284.9,280.0,1011.0,283134.0,3.0,7872217199.0,284.9
28/04/2025,LESIEUR CRISTAL,LES,0.0,280.0,0.0,0.0,0.0,0.0,0.0,7736822800.0,280.0
25/04/2025,LESIEUR CRISTAL,LES,0.0,280.0,0.0,0.0,0.0,0.0,0.0,7736822800.0,280.0
24/04/2025,LESIEUR CRISTAL,LES,280.0,280.0,280.0,280.0,70.0,19600.0,1.0,7736822800.0,280.0
23/04/2025,LESIEUR CRISTAL,LES,280.1,280.0,280.1,280.0,109.0,30524.5,3.0,7736822800.0,280.0
