Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de contrats,Capitalisation,Cours ajusté
05/12/2025,MANAGEM,MNG,6100.0,6100.0,6100.0,6100.0,168.0,1024800.0,10.0,72374523600.0,6100.0
04/12/2025,MANAGEM,MNG,6069.0,5950.0,6069.0,5950.0,89.0,532800.0,12.0,70594822200.0,5950.0
03/12/2025,MANAGEM,MNG,5871.0,5880.0,5880.0,5871.0,1053.0,6182219.0,5.0,69764294880.0,5880.0
02/12/2025,MANAGEM,MNG,5906.0,5837.0,5910.0,5837.0,25.0,146867.0,5.0,69254113812.0,5837.0
01/12/2025,MANAGEM,MNG,6100.0,5920.0,6100.0,5920.0,21.0,126564.0,12.0,70238881920.0,5920.0
28/11/2025,MANAGEM,MNG,6010.0,6100.0,6100.0,5902.0,231.0,1408342.0,8.0,72374523600.0,6100.0
27/11/2025,MANAGEM,MNG,6000.0,6194.0,6194.0,6000.0,1561.0,9652146.0,42.0,73489803144.0,6194.0
26/11/2025,MANAGEM,MNG,5871.0,5893.0,6050.0,5871.0,12.0,71588.0,6.0,69918535668.0,5893.0
25/11/2025,MANAGEM,MNG,6089.0,6050.0,6089.0,5907.0,234.0,1415426.0,13.0,71781289800.0,6050.0
24/11/2025,MANAGEM,MNG,6096.0,6069.0,6096.0,5800.0,206.0,1240797.0,26.0,72006718644.0,6069.0
21/11/2025,MANAGEM,MNG,5795.0,6000.0,6000.0,5795.0,1517.0,8898580.0,18.0,71188056000.0,6000.0
20/11/2025,MANAGEM,MNG,5627.0,5900.0,5900.0,5627.0,1173.0,6807260.0,19.0,70001588400.0,5900.0
19/11/2025,MANAGEM,MNG,5998.0,5800.0,5998.0,5800.0,225.0,1306446.0,19.0,68815120800.0,5800.0
17/11/2025,MANAGEM,MNG,6150.0,5807.0,6150.0,5800.0,1335.0,7754246.0,28.0,68898173532.0,5807.0
14/11/2025,MANAGEM,MNG,6148.0,6050.0,6148.0,5935.0,1263.0,7641133.0,8.0,71781289800.0,6050.0
13/11/2025,MANAGEM,MNG,6149.0,6050.0,6149.0,6050.0,212.0,1282798.0,5.0,71781289800.0,6050.0
12/11/2025,MANAGEM,MNG,5901.0,6050.0,6077.0,5901.0,214.0,1293309.0,10.0,71781289800.0,6050.0
11/11/2025,MANAGEM,MNG,6150.0,5900.0,6170.0,5863.0,375.0,2276151.0,16.0,70001588400.0,5900.0
10/11/2025,MANAGEM,MNG,6200.0,6190.0,6200.0,6100.0,590.0,3656898.0,12.0,73442344440.0,6190.0
07/11/2025,MANAGEM,MNG,6235.0,6200.0,6235.0,6200.0,1015.0,6293508.0,9.0,73560991200.0,6200.0
05/11/2025,MANAGEM,MNG,6284.0,6200.0,6284.0,6200.0,102.0,632568.0,9.0,73560991200.0,6200.0
04/11/2025,MANAGEM,MNG,6081.0,6199.0,6199.0,6080.0,117.0,723505.0,10.0,73549126524.0,6199.0
03/11/2025,MANAGEM,MNG,6200.0,6240.0,6250.0,6200.0,764.0,4737212.0,18.0,74035578240.0,6240.0
31/10/2025,MANAGEM,MNG,5923.0,6250.0,6250.0,5923.0,3716.0,22961411.0,54.0,74154225000.0,6250.0
30/10/2025,MANAGEM,MNG,5885.0,6000.0,6000.0,5801.0,546.0,3259344.0,23.0,71188056000.0,6000.0
29/10/2025,MANAGEM,MNG,6000.0,6000.0,6000.0,6000.0,560.0,3360000.0,7.0,71188056000.0,6000.0
28/10/2025,MANAGEM,MNG,5900.0,6050.0,6050.0,5801.0,246.0,1477709.0,32.0,71781289800.0,6050.0
27/10/2025,MANAGEM,MNG,6169.0,6000.0,6169.0,6000.0,432.0,2592169.0,9.0,71188056000.0,6000.0
24/10/2025,MANAGEM,MNG,6090.0,6000.0,6090.0,6000.0,814.0,4884520.0,14.0,71188056000.0,6000.0
23/10/2025,MANAGEM,MNG,6179.0,6099.0,6179.0,6000.0,221.0,1326922.0,10.0,72362658924.0,6099.0
