Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de contrats,Capitalisation,Cours ajusté
05/12/2025,SONASID,SID,2287.0,2300.0,2339.0,2287.0,1553.0,3572304.0,26,8970000000.0,2300.0
04/12/2025,SONASID,SID,2340.0,2300.0,2340.0,2300.0,302.0,699066.0,9,8970000000.0,2300.0
03/12/2025,SONASID,SID,2300.0,2290.0,2300.0,2278.0,88.0,201810.0,4,8931000000.0,2290.0
02/12/2025,SONASID,SID,2306.0,2300.0,2310.0,2283.0,187.0,430102.0,15,8970000000.0,2300.0
01/12/2025,SONASID,SID,2430.0,2304.0,2430.0,2304.0,75.0,178470.0,17,8985600000.0,2304.0
28/11/2025,SONASID,SID,2330.0,2303.0,2330.0,2302.0,1974.0,4544794.0,13,8981700000.0,2303.0
27/11/2025,SONASID,SID,2300.0,2330.0,2340.0,2300.0,4430.0,10214456.0,23,9087000000.0,2330.0
26/11/2025,SONASID,SID,2300.0,2300.0,2300.0,2300.0,4011.0,9225300.0,5,8970000000.0,2300.0
25/11/2025,SONASID,SID,2270.0,2288.0,2300.0,2270.0,4791.0,10997802.0,23,8923200000.0,2288.0
24/11/2025,SONASID,SID,2270.0,2338.0,2338.0,2270.0,18.0,41076.0,5,9118200000.0,2338.0
21/11/2025,SONASID,SID,2347.0,2270.0,2347.0,2270.0,4824.0,10952755.0,27,8853000000.0,2270.0
20/11/2025,SONASID,SID,2290.0,2300.0,2358.0,2250.0,91.0,209403.0,16,8970000000.0,2300.0
19/11/2025,SONASID,SID,2301.0,2260.0,2360.0,2252.0,1501.0,3395986.0,26,8814000000.0,2260.0
17/11/2025,SONASID,SID,2333.0,2325.0,2333.0,2325.0,65.0,151371.0,16,9067500000.0,2325.0
14/11/2025,SONASID,SID,2400.0,2333.0,2400.0,2333.0,2305.0,5378375.0,24,9098700000.0,2333.0
13/11/2025,SONASID,SID,2400.0,2400.0,2400.0,2400.0,1048.0,2515200.0,12,9360000000.0,2400.0
12/11/2025,SONASID,SID,2434.0,2400.0,2434.0,2325.0,831.0,1992908.0,14,9360000000.0,2400.0
11/11/2025,SONASID,SID,2423.0,2460.0,2460.0,2400.0,83.0,200497.0,14,9594000000.0,2460.0
10/11/2025,SONASID,SID,2421.0,2450.0,2450.0,2421.0,75.0,182013.0,18,9555000000.0,2450.0
07/11/2025,SONASID,SID,2437.0,2438.0,2500.0,2437.0,117.0,285610.0,19,9508200000.0,2438.0
05/11/2025,SONASID,SID,2500.0,2500.0,2502.0,2500.0,16.0,40010.0,5,9750000000.0,2500.0
04/11/2025,SONASID,SID,2505.0,2505.0,2505.0,2505.0,39.0,97695.0,3,9769500000.0,2505.0
03/11/2025,SONASID,SID,2600.0,2550.0,2600.0,2503.0,930.0,2386040.0,39,9945000000.0,2550.0
31/10/2025,SONASID,SID,2460.0,2500.0,2500.0,2420.0,3532.0,8820215.0,40,9750000000.0,2500.0
30/10/2025,SONASID,SID,2460.0,2460.0,2469.0,2460.0,742.0,1825585.0,14,9594000000.0,2460.0
29/10/2025,SONASID,SID,2426.0,2460.0,2460.0,2415.0,250.0,612760.0,14,9594000000.0,2460.0
28/10/2025,SONASID,SID,2427.0,2425.0,2469.0,2395.0,4751.0,11549413.0,44,9457500000.0,2425.0
27/10/2025,SONASID,SID,2445.0,2469.0,2470.0,2445.0,1391.0,3433965.0,11,9629100000.0,2469.0
24/10/2025,SONASID,SID,2475.0,2475.0,2475.0,2475.0,1942.0,4806450.0,8,9652500000.0,2475.0
23/10/2025,SONASID,SID,2499.0,2450.0,2499.0,2410.0,525.0,1286206.0,14,9555000000.0,2450.0
22/10/2025,SONASID,SID,2440.0,2470.0,2500.0,2440.0,775.0,1930499.0,21,9633000000.0,2470.0
21/10/2025,SONASID,SID,2440.0,2500.0,2500.0,2440.0,741.0,1839812.0,20,9750000000.0,2500.0
