Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de contrats,Capitalisation,Cours ajusté
05/12/2025,TAQA MOROCCO,TQM,2209.0,2250.0,2400.0,2209.0,917.0,2101619.0,55.0,53074219500.0,2250.0
04/12/2025,TAQA MOROCCO,TQM,2300.0,2250.0,2300.0,2250.0,330.0,746750.0,24.0,53074219500.0,2250.0
03/12/2025,TAQA MOROCCO,TQM,2296.0,2300.0,2300.0,2200.0,364.0,835238.0,25.0,54253646600.0,2300.0
02/12/2025,TAQA MOROCCO,TQM,2269.0,2250.0,2269.0,2190.0,238.0,531976.0,27.0,53074219500.0,2250.0
01/12/2025,TAQA MOROCCO,TQM,2277.0,2240.0,2277.0,2202.0,2238.0,5013238.0,12.0,52838334080.0,2240.0
28/11/2025,TAQA MOROCCO,TQM,2240.0,2277.0,2277.0,2180.0,4273.0,9429500.0,45.0,53711110134.0,2277.0
27/11/2025,TAQA MOROCCO,TQM,2200.0,2199.0,2200.0,2175.0,369.0,808507.0,28.0,51871203858.0,2199.0
26/11/2025,TAQA MOROCCO,TQM,2150.0,2180.0,2200.0,2150.0,83.0,181303.0,14.0,51423021560.0,2180.0
25/11/2025,TAQA MOROCCO,TQM,2150.0,2150.0,2247.0,2146.0,1691.0,3645816.0,54.0,50715365300.0,2150.0
24/11/2025,TAQA MOROCCO,TQM,2221.0,2145.0,2265.0,2145.0,4020.0,8750793.0,87.0,50597422590.0,2145.0
21/11/2025,TAQA MOROCCO,TQM,2255.0,2259.0,2259.0,2240.0,17.0,38369.0,6.0,53286516378.0,2259.0
20/11/2025,TAQA MOROCCO,TQM,2210.0,2240.0,2244.0,2210.0,420.0,931655.0,16.0,52838334080.0,2240.0
19/11/2025,TAQA MOROCCO,TQM,2329.0,2205.0,2329.0,2200.0,1173.0,2627171.0,54.0,52012735110.0,2205.0
17/11/2025,TAQA MOROCCO,TQM,2374.0,2291.0,2374.0,2290.0,66.0,151696.0,11.0,54041349722.0,2291.0
14/11/2025,TAQA MOROCCO,TQM,2300.0,2281.0,2374.0,2281.0,1074.0,2462010.0,51.0,53805464302.0,2281.0
13/11/2025,TAQA MOROCCO,TQM,2420.0,2300.0,2450.0,2300.0,922.0,2134556.0,58.0,54253646600.0,2300.0
12/11/2025,TAQA MOROCCO,TQM,2300.0,2300.0,2350.0,2300.0,926.0,2132172.0,54.0,54253646600.0,2300.0
11/11/2025,TAQA MOROCCO,TQM,2399.0,2300.0,2400.0,2300.0,3357.0,7844356.0,53.0,54253646600.0,2300.0
10/11/2025,TAQA MOROCCO,TQM,2350.0,2375.0,2398.0,2350.0,212.0,503504.0,16.0,56022787250.0,2375.0
07/11/2025,TAQA MOROCCO,TQM,2390.0,2350.0,2469.0,2350.0,2164.0,5099264.0,46.0,55433073700.0,2350.0
05/11/2025,TAQA MOROCCO,TQM,2405.0,2380.0,2420.0,2380.0,718.0,1719328.0,47.0,56140729960.0,2380.0
04/11/2025,TAQA MOROCCO,TQM,2480.0,2421.0,2480.0,2421.0,550.0,1333041.0,25.0,57107860182.0,2421.0
03/11/2025,TAQA MOROCCO,TQM,2594.0,2480.0,2594.0,2475.0,4454.0,11135673.0,53.0,58499584160.0,2480.0
31/10/2025,TAQA MOROCCO,TQM,2489.0,2449.0,2600.0,2449.0,5343.0,13167378.0,82.0,57768339358.0,2449.0
30/10/2025,TAQA MOROCCO,TQM,2495.0,2450.0,2495.0,2450.0,4478.0,10991131.0,42.0,57791927900.0,2450.0
29/10/2025,TAQA MOROCCO,TQM,2489.0,2449.0,2490.0,2449.0,1607.0,3939124.0,28.0,57768339358.0,2449.0
28/10/2025,TAQA MOROCCO,TQM,2450.0,2450.0,2460.0,2421.0,2072.0,5074453.0,22.0,57791927900.0,2450.0
