Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de contrats,Capitalisation,Cours ajusté
05/12/2025,WAFA ASSURANCE,WAA,5020.0,5020.0,5020.0,5020.0,57.0,286140.0,3.0,17570000000.0,5020.0
04/12/2025,WAFA ASSURANCE,WAA,5000.0,5000.0,5000.0,5000.0,20.0,100000.0,2.0,17500000000.0,5000.0
03/12/2025,WAFA ASSURANCE,WAA,5000.0,5000.0,5000.0,5000.0,103.0,515000.0,2.0,17500000000.0,5000.0
02/12/2025,WAFA ASSURANCE,WAA,5001.0,5001.0,5001.0,5001.0,63.0,315063.0,3.0,17503500000.0,5001.0
01/12/2025,WAFA ASSURANCE,WAA,5150.0,5150.0,5150.0,5150.0,15.0,77250.0,2.0,18025000000.0,5150.0
28/11/2025,WAFA ASSURANCE,WAA,0.0,5150.0,0.0,0.0,0.0,0.0,0.0,18025000000.0,5150.0
27/11/2025,WAFA ASSURANCE,WAA,5150.0,5150.0,5150.0,5150.0,50.0,257500.0,5.0,18025000000.0,5150.0
26/11/2025,WAFA ASSURANCE,WAA,4952.0,4952.0,4952.0,4952.0,24.0,118848.0,6.0,17332000000.0,4952.0
25/11/2025,WAFA ASSURANCE,WAA,5100.0,5100.0,5100.0,5100.0,50.0,255000.0,2.0,17850000000.0,5100.0
24/11/2025,WAFA ASSURANCE,WAA,0.0,5100.0,0.0,0.0,0.0,0.0,0.0,17850000000.0,5100.0
21/11/2025,WAFA ASSURANCE,WAA,5100.0,5100.0,5100.0,5100.0,300.0,1530000.0,2.0,17850000000.0,5100.0
20/11/2025,WAFA ASSURANCE,WAA,5179.0,5050.0,5179.0,5050.0,198.0,1000029.0,3.0,17675000000.0,5050.0
19/11/2025,WAFA ASSURANCE,WAA,4953.0,5050.0,5050.0,4953.0,12.0,60309.0,3.0,17675000000.0,5050.0
17/11/2025,WAFA ASSURANCE,WAA,5200.0,5003.0,5300.0,5003.0,11.0,57331.0,5.0,17510500000.0,5003.0
14/11/2025,WAFA ASSURANCE,WAA,5199.0,5149.0,5229.0,5149.0,203.0,1045427.0,6.0,18021500000.0,5149.0
13/11/2025,WAFA ASSURANCE,WAA,5100.0,5100.0,5100.0,5100.0,30.0,153000.0,1.0,17850000000.0,5100.0
12/11/2025,WAFA ASSURANCE,WAA,4960.0,5179.0,5179.0,4960.0,6.0,30399.0,4.0,18126500000.0,5179.0
11/11/2025,WAFA ASSURANCE,WAA,5188.0,5050.0,5188.0,5050.0,368.0,1881170.0,12.0,17675000000.0,5050.0
10/11/2025,WAFA ASSURANCE,WAA,5250.0,5188.0,5500.0,5188.0,203.0,1067901.0,10.0,18158000000.0,5188.0
07/11/2025,WAFA ASSURANCE,WAA,5195.0,5195.0,5195.0,5195.0,150.0,779250.0,3.0,18182500000.0,5195.0
05/11/2025,WAFA ASSURANCE,WAA,5040.0,5195.0,5195.0,5040.0,102.0,529580.0,3.0,18182500000.0,5195.0
04/11/2025,WAFA ASSURANCE,WAA,5200.0,5195.0,5200.0,5195.0,102.0,529895.0,4.0,18182500000.0,5195.0
03/11/2025,WAFA ASSURANCE,WAA,5250.0,5250.0,5250.0,5250.0,4.0,21000.0,3.0,18375000000.0,5250.0
31/10/2025,WAFA ASSURANCE,WAA,5250.0,5250.0,5250.0,5250.0,708.0,3717000.0,11.0,18375000000.0,5250.0
30/10/2025,WAFA ASSURANCE,WAA,5100.0,5100.0,5100.0,5100.0,51.0,260100.0,2.0,17850000000.0,5100.0
29/10/2025,WAFA ASSURANCE,WAA,5100.0,5100.0,5100.0,5100.0,370.0,1887000.0,7.0,17850000000.0,5100.0
28/10/2025,WAFA ASSURANCE,WAA,5000.0,5000.0,5000.0,5000.0,1.0,5000.0,1.0,17500000000.0,5000.0
27/10/2025,WAFA ASSURANCE,WAA,5000.0,5000.0,5000.0,5000.0,3.0,15000.0,1.0,17500000000.0,5000.0
24/10/2025,WAFA ASSURANCE,WAA,5000.0,5000.0,5000.0,5000.0,523.0,2615000.0,14.0,17500000000.0,5000.0
23/10/2025,WAFA ASSURANCE,WAA,5000.0,5000.0,5000.0,5000.0,10.0,50000.0,2.0,17500000000.0,5000.0
22/10/2025,WAFA ASSURANCE,WAA,5000.0,5120.0,5120.0,5000.0,238.0,1217360.0,5.0,17920000000.0,5120.0
21/10/2025,WAFA ASSURANCE,WAA,5150.0,5150.0,5150.0,5150.0,306.0,1575900.0,3.0,18025000000.0,5150.0
20/10/2025,WAFA ASSURANCE,WAA,5090.0,5150.0,5150.0,5090.0,1495.0,7696250.0,10.0,18025000000.0,5150.0
17/10/2025,WAFA ASSURANCE,WAA,5090.0,5090.0,5090.0,5090.0,50.0,254500.0,1.0,17815000000.0,5090.0
16/10/2025,WAFA ASSURANCE,WAA,5000.0,5000.0,5000.0,5000.0,100.0,500000.0,1.0,17500000000.0,5000.0
15/10/2025,WAFA ASSURANCE,WAA,4955.0,5090.0,5090.0,4955.0,21.0,106755.0,2.0,17815000000.0,5090.0
14/10/2025,WAFA ASSURANCE,WAA,5099.0,5099.0,5099.0,5099.0,625.0,3186875.0,2.0,17846500000.0,5099.0
13/10/2025,WAFA ASSURANCE,WAA,4950.0,5100.0,5100.0,4947.0,66.0,334167.0,7.0,17850000000.0,5100.0
10/10/2025,WAFA ASSURANCE,WAA,5099.0,5099.0,5099.0,5099.0,400.0,2039600.0,6.0,17846500000.0,5099.0
09/10/2025,WAFA ASSURANCE,WAA,5000.0,5000.0,5000.0,5000.0,134.0,670000.0,6.0,17500000000.0,5000.0
08/10/2025,WAFA ASSURANCE,WAA,5000.0,5000.0,5000.0,5000.0,200.0,1000000.0,2.0,17500000000.0,5000.0
07/10/2025,WAFA ASSURANCE,WAA,0.0,5100.0,0.0,0.0,0.0,0.0,0.0,17850000000.0,5100.0
06/10/2025,WAFA ASSURANCE,WAA,0.0,5100.0,0.0,0.0,0.0,0.0,0.0,17850000000.0,5100.0
03/10/2025,WAFA ASSURANCE,WAA,4862.0,5100.0,5100.0,4862.0,370.0,1862361.0,10.0,17850000000.0,5100.0
02/10/2025,WAFA ASSURANCE,WAA,4950.0,4950.0,4950.0,4950.0,1000.0,4950000.0,1.0,17325000000.0,4950.0
01/10/2025,WAFA ASSURANCE,WAA,4851.0,4851.0,4851.0,4851.0,50.0,242550.0,2.0,16978500000.0,4851.0
30/09/2025,WAFA ASSURANCE,WAA,4950.0,5000.0,5045.0,4801.0,1658.0,8273066.0,19.0,17500000000.0,5000.0
29/09/2025,WAFA ASSURANCE,WAA,5042.0,5042.0,5042.0,5042.0,1.0,5042.0,1.0,17647000000.0,5042.0
26/09/2025,WAFA ASSURANCE,WAA,5050.0,5050.0,5050.0,5050.0,5708.0,28825400.0,16.0,17675000000.0,5050.0
25/09/2025,WAFA ASSURANCE,WAA,5200.0,5050.0,5200.0,5050.0,2501.0,12630200.0,7.0,17675000000.0,5050.0
24/09/2025,WAFA ASSURANCE,WAA,5200.0,5200.0,5200.0,5200.0,690.0,3588000.0,4.0,18200000000.0,5200.0
23/09/2025,WAFA ASSURANCE,WAA,5200.0,5200.0,5200.0,5200.0,150.0,780000.0,3.0,18200000000.0,5200.0
22/09/2025,WAFA ASSURANCE,WAA,0.0,5250.0,0.0,0.0,0.0,0.0,0.0,18375000000.0,5250.0
19/09/2025,WAFA ASSURANCE,WAA,5055.0,5250.0,5250.0,5055.0,477.0,2499271.0,13.0,18375000000.0,5250.0
18/09/2025,WAFA ASSURANCE,WAA,5235.0,5233.0,5235.0,5233.0,3.0,15703.0,2.0,18315500000.0,5233.0
17/09/2025,WAFA ASSURANCE,WAA,5189.0,5189.0,5189.0,5189.0,5.0,25945.0,1.0,18161500000.0,5189.0
16/09/2025,WAFA ASSURANCE,WAA,5189.0,5189.0,5189.0,5189.0,1.0,5189.0,1.0,18161500000.0,5189.0
15/09/2025,WAFA ASSURANCE,WAA,5065.0,5199.0,5199.0,5040.0,144.0,742096.0,9.0,18196500000.0,5199.0
12/09/2025,WAFA ASSURANCE,WAA,5170.0,5150.0,5170.0,5150.0,504.0,2604600.0,4.0,18025000000.0,5150.0
11/09/2025,WAFA ASSURANCE,WAA,5180.0,5180.0,5180.0,5180.0,1.0,5180.0,1.0,18130000000.0,5180.0
